Trial05
Date:,2014/06/11
Time:,10:52:45
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
24,393.111359,-12.328250,12.951712,-10.866644,-13.020965,16.323936,389.553070,566.028564,24.567673,-12.286151,564.667908,19.204412,159.700485,456.655334,33.896671,151.168945,613.766296,33.832977,253.123138,463.300354,34.570904,238.158768,622.734375,34.683414
25,393.102173,-12.319853,12.950316,-10.868519,-13.011406,16.313295,389.554871,566.029602,24.566610,-12.268787,564.653870,19.202900,159.659637,456.659149,33.887840,151.206345,613.750000,33.835587,253.137360,463.302551,34.572742,238.159668,622.733826,34.689758
26,393.103271,-12.321813,12.934347,-10.864545,-13.011211,16.316517,389.550476,566.033875,24.567017,-12.266069,564.663879,19.200455,159.698730,456.651764,33.892036,151.216232,613.743164,33.842281,253.153748,463.306091,34.577763,238.156982,622.741760,34.681808
27,393.106598,-12.330511,12.943933,-10.863117,-13.021896,16.322481,389.555328,566.033081,24.573439,-12.275545,564.654297,19.194601,159.703903,456.661072,33.900860,151.182266,613.765686,33.843071,253.181976,463.322449,34.587269,238.163864,622.739319,34.694263
28,393.104919,-12.320099,12.937378,-10.857145,-13.000952,16.319372,389.565765,566.035645,24.570223,-12.264249,564.662231,19.194389,159.704971,456.658966,33.897018,151.179550,613.763306,33.836510,253.212769,463.323151,34.589348,238.162842,622.741272,34.695457
29,393.109009,-12.326369,12.935525,-10.858706,-13.011003,16.319601,389.563843,566.030823,24.572447,-12.270435,564.665466,19.189926,159.700119,456.651062,33.906857,151.175690,613.761475,33.832863,253.238571,463.338013,34.595737,238.166779,622.734314,34.690468
30,393.104828,-12.330103,12.927750,-10.854763,-13.009847,16.324537,389.557678,566.031433,24.578115,-12.280694,564.662659,19.196779,159.706238,456.655029,33.896103,151.165146,613.772583,33.830132,253.226227,463.332367,34.595043,238.166458,622.747314,34.685200
31,393.110168,-12.330385,12.940676,-10.857906,-13.011345,16.318455,389.562469,566.026917,24.571190,-12.273804,564.671631,19.194502,159.704590,456.649384,33.901253,151.169418,613.772583,33.834843,253.224396,463.343719,34.597923,238.159210,622.745911,34.680954
32,393.109253,-12.328439,12.936418,-10.860150,-13.012017,16.318907,389.553528,566.023621,24.566521,-12.279410,564.668152,19.196894,159.711853,456.653534,33.896149,151.173141,613.773987,33.834263,253.243759,463.337341,34.587368,238.161697,622.738953,34.684120
33,393.109680,-12.331697,12.940408,-10.865125,-13.020276,16.322618,389.560974,566.033020,24.568909,-12.288269,564.661316,19.195482,159.699631,456.647858,33.897305,151.169403,613.770691,33.825260,253.239319,463.346985,34.602280,238.159363,622.744141,34.683277
