Timestamp, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagnetometerX, MagnetometerY, MagnetometerZ, DMUserAccelerationX, DMUserAccelerationY, DMUserAccelerationZ, DMGravityX, DMGravityY, DMGravityZ, DMMagX, DMMagY, DMMagZ, DMAttitudeX, DMAttitudeY, DMAttitudeZ, DMAttitudeW 
424169521.322260, 0.17503357, -0.40560913, -1.19461060, 0.35880183, -0.01502183, -0.03607864, -164.26002502, 143.72750854, 237.30978394, 0.14884372, -0.40102422, -0.90389442, 0.02618985, -0.00458491, -0.29071617, 0.00000000, 0.00000000, 0.00000000, 0.21693291, -0.03151035, -0.46746002, 0.85640431
424169521.338677, 0.10244751, -0.41159058, -1.00144958, 0.45590522, 0.17731992, 0.00888191, -162.89120483, 143.72750854, 236.97695923, 0.14726059, -0.40479219, -0.90247303, -0.00042527, -0.00425018, -0.18761484, 0.00000000, 0.00000000, 0.00000000, 0.21829964, -0.03329774, -0.46782557, 0.85578955
424169521.354394, 0.09910583, -0.41519165, -0.93479919, 0.42221836, 0.05601613, -0.00629731, -163.40451050, 145.95187378, 236.14486694, 0.14905939, -0.41095528, -0.89938706, -0.05788812, -0.00345817, -0.06507523, 0.00000000, 0.00000000, 0.00000000, 0.22169796, -0.03400724, -0.46735152, 0.85514682
424169521.369923, 0.11477661, -0.43388367, -0.86763000, 0.23898782, -0.29458849, -0.04897979, -164.08892822, 144.58303833, 233.81504822, 0.14910007, -0.41696253, -0.89661109, -0.04117465, -0.01321326, -0.00864710, 0.00000000, 0.00000000, 0.00000000, 0.22458681, -0.03542918, -0.46676711, 0.85465432
424169521.386589, 0.06872559, -0.42193604, -0.78808594, -0.05689444, -0.48598455, -0.11694899, -164.08892822, 144.58303833, 233.81504822, 0.14667855, -0.42125973, -0.89500034, -0.03190194, -0.01262394, 0.02737036, 0.00000000, 0.00000000, 0.00000000, 0.22599923, -0.03773816, -0.46711405, 0.85399335
424169521.401840, 0.06872559, -0.42193604, -0.78808594, -0.28777586, -0.51669746, -0.19203176, -163.06230164, 142.18757629, 236.14486694, 0.14109634, -0.42154169, -0.89576471, -0.07237075, -0.00039434, 0.10767877, 0.00000000, 0.00000000, 0.00000000, 0.22464976, -0.04062177, -0.46837333, 0.85352726
424169521.417748, 0.09304810, -0.41923523, -0.79820251, -0.35316605, -0.33767844, -0.18041452, -163.91783142, 144.06971741, 237.64262390, 0.13465177, -0.41795921, -0.89843142, -0.04160368, -0.00127600, 0.10022889, 0.00000000, 0.00000000, 0.00000000, 0.22120300, -0.04305269, -0.47041746, 0.85318410
424169521.433619, 0.18748474, -0.51669312, -0.80378723, -0.22376332, 0.06072353, -0.00481340, -163.40451050, 144.24082947, 237.80903625, 0.12985809, -0.41304925, -0.90140289, -0.00676545, -0.02365730, 0.08440156, 0.00000000, 0.00000000, 0.00000000, 0.21755575, -0.04436262, -0.47238028, 0.85297030
424169521.449182, 0.23135376, -0.51911926, -0.86599731, -0.01038100, 0.41555007, 0.18257541, -164.26002502, 145.09634399, 237.30978394, 0.12933470, -0.40880397, -0.90341121, 0.09722780, -0.11269565, 0.04766782, 0.00000000, 0.00000000, 0.00000000, 0.21539254, -0.04359406, -0.47292404, 0.85325756
424169521.465213, 0.19094849, -0.47940063, -0.91662598, 0.22827552, 0.65092531, 0.32866178, -163.23341370, 146.46517944, 238.30828857, 0.13284667, -0.40779647, -0.90335697, 0.09850709, -0.11132279, 0.03735965, 0.00000000, 0.00000000, 0.00000000, 0.21588855, -0.04139630, -0.47143944, 0.85406284
424169521.481238, 0.19094849, -0.47940063, -0.91662598, 0.44215878, 0.78896547, 0.37858965, -165.45776367, 143.55641174, 236.81053162, 0.14129063, -0.41267440, -0.89985377, 0.04965784, -0.06672624, -0.01677221, 0.00000000, 0.00000000, 0.00000000, 0.22049147, -0.03816580, -0.46834942, 0.85473722
424169521.496588, 0.10691833, -0.39465332, -0.91294861, 0.30973709, 0.51847858, 0.31217015, -164.26002502, 144.41192627, 237.30978394, 0.14948361, -0.41900712, -0.89559346, -0.04256527, 0.02435381, -0.01735513, 0.00000000, 0.00000000, 0.00000000, 0.22576432, -0.03512453, -0.46419988, 0.85575418
424169521.513701, 0.11575317, -0.42579651, -0.94271851, 0.20880541, 0.17715294, 0.33335054, -164.43113708, 143.21420288, 236.81053162, 0.15550241, -0.42454273, -0.89195430, -0.02648934, 0.00957997, -0.01954473, 0.00000000, 0.00000000, 0.00000000, 0.23007832, -0.03296695, -0.46067182, 0.85659712
424169521.529963, 0.11753845, -0.42547607, -0.84284973, 0.17852926, 0.18996541, 0.30182404, -164.43113708, 144.92524719, 236.47770691, 0.15790032, -0.42912096, -0.88933831, 0.03674079, -0.01231580, 0.00396236, 0.00000000, 0.00000000, 0.00000000, 0.23299444, -0.03231749, -0.45777383, 0.85738690
424169521.543869, 0.12750244, -0.39595032, -0.68710327, -0.04002092, 0.26056981, 0.19946437, -164.43113708, 144.92524719, 236.47770691, 0.15765657, -0.43228382, -0.88784856, -0.04011812, 0.00680776, 0.04499884, 0.00000000, 0.00000000, 0.00000000, 0.23455716, -0.03253692, -0.45514057, 0.85835386
424169521.559474, 0.12750244, -0.39595032, -0.68710327, -0.22063571, 0.65475280, 0.17157202, -164.43113708, 145.60966492, 235.81204224, 0.15881230, -0.43332589, -0.88713431, -0.03130986, 0.03737555, 0.20003107, 0.00000000, 0.00000000, 0.00000000, 0.23542859, -0.03172077, -0.45305534, 0.85924853
424169521.575602, 0.18359375, -0.45193481, -0.69686890, -0.36338034, 0.80211536, 0.28194780, -166.14218140, 146.63629150, 236.47770691, 0.16513723, -0.43145755, -0.88689011, 0.01845652, -0.02047728, 0.19002123, 0.00000000, 0.00000000, 0.00000000, 0.23618337, -0.02779131, -0.45083097, 0.86034673
424169521.591578, 0.20825195, -0.44856262, -0.82534790, -0.34018048, 0.80258088, 0.37879978, -165.79997253, 145.26745605, 235.81204224, 0.17404778, -0.42754951, -0.88707882, 0.03023688, -0.03683649, 0.13254693, 0.00000000, 0.00000000, 0.00000000, 0.23659976, -0.02193527, -0.44772881, 0.86201990
424169521.607450, 0.15783691, -0.40173340, -0.88658142, -0.20905149, 0.84057407, 0.40989937, -165.79997253, 145.95187378, 237.14337158, 0.18305624, -0.42360693, -0.88715702, 0.01459086, -0.00061791, 0.02636295, 0.00000000, 0.00000000, 0.00000000, 0.23700710, -0.01578381, -0.44372948, 0.86410801
424169521.623771, 0.12687683, -0.34191895, -0.86793518, -0.02459083, 0.88720495, 0.37419517, -165.97106934, 146.46517944, 236.31129456, 0.19174758, -0.42104217, -0.88654178, -0.03391067, 0.01930878, -0.00003963, 0.00000000, 0.00000000, 0.00000000, 0.23796787, -0.01001975, -0.43935562, 0.86616253
424169521.638790, 0.12687683, -0.34191895, -0.86793518, 0.12872709, 1.03768021, 0.30381928, -166.48439026, 145.60966492, 237.14337158, 0.20103323, -0.42095152, -0.88452554, -0.07415641, 0.07903257, 0.01659038, 0.00000000, 0.00000000, 0.00000000, 0.24024219, -0.00457322, -0.43491673, 0.86781923
424169521.655125, 0.15827942, -0.38816833, -0.78584290, 0.12664796, 1.28071949, 0.34277200, -167.16880798, 144.92524719, 236.47770691, 0.21246363, -0.42306957, -0.88083559, -0.05418421, 0.03490122, 0.09499270, 0.00000000, 0.00000000, 0.00000000, 0.24409132, 0.00127505, -0.43067472, 0.86887116
424169521.670531, 0.21554565, -0.46253967, -0.66342163, 0.01801895, 1.79814213, 0.48994281, -168.36653137, 146.46517944, 236.31129456, 0.22662677, -0.42617607, -0.87579352, -0.03064289, 0.00045587, 0.16209416, 0.00000000, 0.00000000, 0.00000000, 0.24906793, 0.00827158, -0.42606718, 0.86969162
424169521.686388, 0.19696045, -0.44688416, -0.74784851, -0.09406525, 2.01878450, 0.58556760, -168.36653137, 146.46517944, 236.31129456, 0.24583542, -0.42857721, -0.86941737, -0.03967392, -0.03295539, 0.19134727, 0.00000000, 0.00000000, 0.00000000, 0.25486421, 0.01831836, -0.41968682, 0.87096019
424169521.702209, 0.20738220, -0.37034607, -0.86813354, -0.12393872, 1.84500658, 0.58235450, -169.56427002, 144.92524719, 234.81353760, 0.26900145, -0.42998710, -0.86182904, -0.07024045, 0.02442376, 0.04440046, 0.00000000, 0.00000000, 0.00000000, 0.26100562, 0.03100871, -0.41164619, 0.87261787
424169521.717957, 0.20738220, -0.37034607, -0.86813354, -0.20098930, 1.50773720, 0.52470851, -169.90646362, 145.26745605, 235.47920227, 0.29097617, -0.43095601, -0.85417199, -0.08359396, 0.06060995, -0.01396156, 0.00000000, 0.00000000, 0.00000000, 0.26650923, 0.04343776, -0.40340720, 0.87427034
424169521.733775, 0.21574402, -0.34201050, -0.84175110, -0.27588991, 1.38190843, 0.49622041, -169.73536682, 145.78076172, 235.97845459, 0.30901659, -0.43112573, -0.84772599, -0.09327256, 0.08911522, 0.00597490, 0.00000000, 0.00000000, 0.00000000, 0.27058063, 0.05406591, -0.39602754, 0.87579974
424169521.749544, 0.30618286, -0.35630798, -0.68206787, -0.59059672, 1.45814275, 0.65598824, -171.27529907, 145.26745605, 235.81204224, 0.32393277, -0.43040872, -0.84250575, -0.12172328, 0.07493997, 0.08315209, 0.00000000, 0.00000000, 0.00000000, 0.27337989, 0.06332907, -0.38921615, 0.87736176
424169521.765259, 0.30822754, -0.51278687, -0.71531677, -0.68825990, 1.73461322, 0.92262233, -171.44641113, 145.78076172, 235.31278992, 0.33877531, -0.42702964, -0.83837759, 0.00961336, -0.00270363, 0.17770253, 0.00000000, 0.00000000, 0.00000000, 0.27462773, 0.07342219, -0.38165276, 0.87950552
424169521.781131, 0.16421509, -0.56417847, -0.92315674, 0.12926824, 2.26990274, 0.81090059, -172.98634338, 146.97850037, 233.81504822, 0.35447916, -0.42313918, -0.83384514, -0.03152689, -0.09361497, 0.17159845, 0.00000000, 0.00000000, 0.00000000, 0.27546679, 0.08482609, -0.37166533, 0.88248936
424169521.797919, 0.28840637, -0.63580322, -0.80334473, 0.98409688, 1.98438018, 0.69517479, -172.64413452, 146.63629150, 233.81504822, 0.37478894, -0.42306331, -0.82495493, -0.21057387, -0.14111516, -0.09820179, 0.00000000, 0.00000000, 0.00000000, 0.27915227, 0.09796189, -0.36093056, 0.88442445
424169521.812708, 0.28840637, -0.63580322, -0.80334473, 1.62358098, 0.86801448, 0.42715533, -172.13082886, 146.80738831, 233.64862061, 0.39960402, -0.44047114, -0.80392897, -0.11119767, -0.19533207, 0.00058424, 0.00000000, 0.00000000, 0.00000000, 0.29323718, 0.10976100, -0.35105748, 0.88245290
424169521.829091, 0.30555725, -0.40924072, -0.72171021, 1.57384511, 1.46097742, 0.57271093, -174.52629089, 147.83401489, 232.65013123, 0.41017365, -0.45945972, -0.78781617, -0.20875765, -0.14570387, -0.24676023, 0.00000000, 0.00000000, 0.00000000, 0.30550453, 0.11295525, -0.34598079, 0.87988942
424169521.844170, 0.19161987, -0.26591492, -0.31307983, 1.23833688, 3.37580329, 0.73968181, -174.52629089, 147.83401489, 232.65013123, 0.42026365, -0.48385474, -0.76763469, -0.07504880, 0.20182654, 0.46924910, 0.00000000, 0.00000000, 0.00000000, 0.32090141, 0.11491268, -0.34111012, 0.87604865
424169521.859728, 0.28373718, -0.06289673, -0.24705505, 0.55934239, 6.14931992, 0.15040735, -176.23731995, 147.83401489, 230.98596191, 0.44591051, -0.50491142, -0.73907256, -0.40092760, 0.23367117, 0.48499849, 0.00000000, 0.00000000, 0.00000000, 0.33790040, 0.12762064, -0.33049888, 0.87195572
424169521.876363, 0.65672302, -0.35162354, -1.36235046, 0.05202805, 5.58939136, -0.05394819, -181.19934082, 148.34732056, 232.15087891, 0.50143373, -0.51715833, -0.69362199, -0.21769653, 0.45426163, 0.44656694, 0.00000000, 0.00000000, 0.00000000, 0.35711105, 0.16018959, -0.31406997, 0.86496881
424169521.891657, 0.65672302, -0.35162354, -1.36235046, -0.97710901, 3.80549501, -0.07235889, -180.51493835, 147.66291809, 230.81954956, 0.56528038, -0.51673549, -0.64299500, 0.09144267, 0.16511194, -0.71935546, 0.00000000, 0.00000000, 0.00000000, 0.37140015, 0.20140612, -0.29655473, 0.85647697
424169521.907545, 0.95967102, -0.39031982, -1.41264343, -1.12174769, 0.65630409, -0.57105071, -182.22596741, 148.00511169, 230.15388489, 0.61024338, -0.50970238, -0.60647053, 0.21928544, 0.08010643, -0.40393594, 0.00000000, 0.00000000, 0.00000000, 0.37711204, 0.23356205, -0.28227364, 0.85062146
424169521.923897, 0.77110291, -0.90106201, -1.44363403, 0.41204854, -0.21340815, -0.36239417, -181.37045288, 148.17622375, 230.32029724, 0.62920713, -0.49563581, -0.59870154, 0.21483280, -0.06535356, -0.68677515, 0.00000000, 0.00000000, 0.00000000, 0.37274363, 0.24841783, -0.27761925, 0.84986959
424169521.938997, 1.02374268, -0.69728088, -1.34757996, 2.29237050, 0.03122769, 0.47486639, -180.34382629, 149.20285034, 229.32180786, 0.63217229, -0.48835996, -0.60155028, 0.29623348, -0.35957095, -1.04433894, 0.00000000, 0.00000000, 0.00000000, 0.36987901, 0.24982869, -0.28063998, 0.84971545
424169521.954121, 0.91786194, -0.71679688, -0.60743713, 3.61245631, 1.70934915, 1.58975963, -182.56817627, 150.05836487, 229.48822021, 0.62935227, -0.50613219, -0.58969986, 0.39439040, -0.19114870, -0.75788009, 0.00000000, 0.00000000, 0.00000000, 0.38126822, 0.24450892, -0.28320290, 0.84536741
424169521.971344, 0.91786194, -0.71679688, -0.60743713, 3.51261600, 2.02274622, 1.97570307, -181.88375854, 151.76940918, 227.49122620, 0.62941259, -0.54824841, -0.55069363, 0.28844935, -0.16854845, -0.05674353, 0.00000000, 0.00000000, 0.00000000, 0.40813030, 0.24100385, -0.27765545, 0.83561609
424169521.986655, 0.61410522, -0.42866516, -0.46722412, 2.64751422, 1.58473451, 1.34599624, -180.85713196, 151.76940918, 226.49272156, 0.62923008, -0.59665710, -0.49806607, -0.01512488, 0.16799192, 0.03084194, 0.00000000, 0.00000000, 0.00000000, 0.43936115, 0.24068392, -0.26468323, 0.82399989
424169522.001825, 0.08255005, -0.40852356, -0.33505249, 1.52189962, 0.85413542, 0.16631707, -180.85713196, 151.76940918, 226.49272156, 0.62610292, -0.63551384, -0.45179340, -0.31018499, 0.26574761, 0.16709490, 0.00000000, 0.00000000, 0.00000000, 0.46540934, 0.23978626, -0.25356621, 0.81338851
424169522.018261, 0.29742432, -0.50173950, -0.33683777, 1.58692976, 1.12378341, -0.34642879, -181.54154968, 152.79603577, 226.49272156, 0.62785339, -0.65434992, -0.42145732, -0.54116821, 0.21312679, 0.17600442, 0.00000000, 0.00000000, 0.00000000, 0.48085860, 0.24092811, -0.24934618, 0.80532921
424169522.033591, 0.63914490, -1.03878784, -0.34744263, 1.68408773, 2.52942300, -0.40807351, -183.76591492, 154.33596802, 226.65913391, 0.63625526, -0.66071266, -0.39829385, -0.33883098, 0.15897314, 0.06145610, 0.00000000, 0.00000000, 0.00000000, 0.49081760, 0.24484924, -0.25013923, 0.79785794
424169522.049740, 0.63914490, -1.03878784, -0.34744263, 2.25788922, 2.20002619, -0.12359784, -183.93701172, 154.84928894, 224.82855225, 0.65374482, -0.66596597, -0.35931465, -0.01459990, -0.37282184, 0.01187203, 0.00000000, 0.00000000, 0.00000000, 0.50412570, 0.25729351, -0.24695558, 0.78655596
424169522.065509, 0.78427124, -1.07929993, -0.36735535, 2.15254762, 1.51647610, 0.23982352, -183.76591492, 156.38922119, 223.66365051, 0.66834372, -0.67531902, -0.31186682, 0.11592752, -0.40398094, -0.05548853, 0.00000000, 0.00000000, 0.00000000, 0.52163615, 0.26825793, -0.24337232, 0.77246574
424169522.081196, 0.80073547, -0.64665222, -0.23460388, 2.22324683, 1.65432877, 0.51288355, -185.81916809, 154.67817688, 223.33081055, 0.67477405, -0.68692988, -0.26982829, 0.15596023, -0.15804079, -0.03672078, 0.00000000, 0.00000000, 0.00000000, 0.53857508, 0.27390279, -0.24003183, 0.75980186
424169522.097545, 0.38990784, -0.50547791, -0.20483398, 2.31885777, 1.73164194, 0.45232273, -184.96363831, 155.53370667, 222.83155823, 0.67594123, -0.70046324, -0.22902994, -0.07974984, 0.13578121, -0.00294943, 0.00000000, 0.00000000, 0.00000000, 0.55552506, 0.27726690, -0.23514147, 0.74781245
424169522.112734, 0.21894836, -0.45860291, -0.03486633, 2.46745417, 2.92201422, 0.16531945, -186.50357056, 157.07363892, 220.00248718, 0.67566139, -0.71347034, -0.18558492, -0.28575355, 0.20799242, -0.01924906, 0.00000000, 0.00000000, 0.00000000, 0.57316532, 0.28051570, -0.22976742, 0.73484651
424169522.128514, 0.21894836, -0.45860291, -0.03486633, 2.63998706, 3.75331623, -0.21821116, -185.99026489, 154.84928894, 218.50473022, 0.67856699, -0.72255641, -0.13213263, -0.45961866, 0.26395351, 0.09726629, 0.00000000, 0.00000000, 0.00000000, 0.59192193, 0.28907112, -0.22214051, 0.71883232
424169522.145614, 0.18659973, -0.50703430, -0.17289734, 3.09576817, 4.39209326, -0.71838877, -186.67468262, 155.87591553, 216.50773621, 0.68473208, -0.72595596, -0.06426497, -0.49813232, 0.21892165, -0.10863237, 0.00000000, 0.00000000, 0.00000000, 0.61232750, 0.30483200, -0.21158305, 0.69811539
424169522.160072, 0.24617004, -0.42326355, -0.15609741, 3.44850093, 3.51808454, -1.31356852, -186.67468262, 155.87591553, 216.50773621, 0.69263279, -0.72115374, 0.01403952, -0.59425938, 0.22953081, -0.26147604, 0.00000000, 0.00000000, 0.00000000, 0.63337226, 0.32536033, -0.20123434, 0.67267004
