Trial08
Date:,2014/06/11
Time:,11:01:28
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,393.054840,-12.303263,12.852422,-10.692079,-12.911313,16.154345,389.508972,566.002380,24.527681,-12.339019,564.331726,19.426054,152.628784,469.770538,33.843651,143.988510,627.098511,33.195385,246.178284,476.148804,34.428936,231.375778,635.714233,34.392628
2,393.051727,-12.301511,12.847072,-10.691611,-12.914531,16.157345,389.507050,566.007568,24.531284,-12.347207,564.322815,19.426662,152.630463,469.774323,33.845211,143.986145,627.088440,33.202766,246.173767,476.156677,34.437168,231.373932,635.718567,34.397533
3,393.055634,-12.299994,12.848739,-10.693643,-12.920201,16.162512,389.503937,566.006775,24.534790,-12.339588,564.333130,19.442533,152.623428,469.771515,33.846966,143.988525,627.087219,33.198624,246.174301,476.164673,34.442848,231.386322,635.722534,34.400265
4,393.051208,-12.291758,12.847076,-10.685151,-12.903803,16.154549,389.511200,566.021179,24.537245,-12.339283,564.337341,19.436405,152.633881,469.778778,33.842133,143.992081,627.096008,33.198277,246.181229,476.172394,34.449986,231.396072,635.716675,34.399982
5,393.048523,-12.292428,12.841887,-10.679667,-12.901750,16.160675,389.510986,566.017944,24.537329,-12.328486,564.338562,19.433781,152.635574,469.782501,33.843807,143.995987,627.105103,33.198238,246.191513,476.172729,34.435390,231.416702,635.697266,34.402279
6,393.053436,-12.293225,12.847474,-10.689684,-12.905775,16.158127,389.507629,566.023865,24.538029,-12.326777,564.339417,19.437759,152.639374,469.783386,33.840328,143.994415,627.105164,33.199631,246.194977,476.171661,34.442070,231.466095,635.675354,34.399349
7,393.050995,-12.299199,12.840573,-10.691147,-12.909880,16.156425,389.505127,566.021606,24.533909,-12.346259,564.339783,19.432274,152.625397,469.780151,33.839882,143.996948,627.105469,33.201206,246.183121,476.161285,34.442883,231.481445,635.668945,34.382061
8,393.048370,-12.300507,12.847048,-10.700520,-12.903990,16.160069,389.494629,566.016724,24.536709,-12.342126,564.331177,19.427355,152.623291,469.779083,33.842796,143.987167,627.098694,33.195450,246.169189,476.163696,34.438190,231.469070,635.660461,34.380035
9,393.057587,-12.300481,12.859821,-10.702784,-12.921584,16.158045,389.497772,565.998169,24.534822,-12.353074,564.327820,19.427567,152.632797,469.762054,33.856613,143.975220,627.103577,33.192547,246.157898,476.159271,34.446144,231.620667,635.458679,34.512470
10,393.055054,-12.304429,12.845181,-10.703913,-12.913428,16.155119,389.494904,566.000977,24.533592,-12.343467,564.327271,19.429731,152.636795,469.754791,33.864281,143.970901,627.102905,33.192493,246.170425,476.148071,34.443222,231.787598,635.389038,34.445995
11,393.048401,-12.299144,12.838751,-10.694380,-12.910882,16.163269,389.498962,566.015686,24.533354,-12.350494,564.328735,19.429169,152.675781,469.735840,33.847641,143.980865,627.092285,33.193939,246.182190,476.154968,34.437702,231.276810,635.681946,34.542065
12,393.053070,-12.299315,12.854452,-10.688210,-12.895800,16.160900,389.504089,566.016296,24.532763,-12.347675,564.341125,19.436731,152.725647,469.731842,33.812107,143.984573,627.101685,33.193325,246.190598,476.145569,34.438927,231.260406,635.704590,34.554455
13,393.054016,-12.297887,12.851120,-10.684193,-12.903219,16.160549,389.510223,566.022339,24.531763,-12.338584,564.348083,19.430965,152.734589,469.742676,33.804611,143.994537,627.108643,33.194244,246.205215,476.154785,34.428204,231.271469,635.702637,34.549564
14,393.053925,-12.283223,12.855639,-10.680611,-12.890722,16.153629,389.517181,566.025391,24.537930,-12.330403,564.345520,19.435429,152.703278,469.746368,33.820644,143.987625,627.105835,33.192837,246.187668,476.173615,34.435631,231.287918,635.701355,34.551544
15,393.056152,-12.286773,12.850179,-10.684883,-12.895515,16.152565,389.509277,566.022644,24.537310,-12.340053,564.338379,19.433733,152.838638,469.626007,33.865513,143.991943,627.106201,33.191399,246.185379,476.168518,34.441128,231.265869,635.693726,34.543472
16,393.043396,-12.294172,12.834312,-10.694627,-12.912281,16.158989,389.506927,566.011597,24.541550,-12.336141,564.337036,19.434864,153.054764,469.514923,33.835621,143.991791,627.102905,33.198242,246.188980,476.162109,34.438126,231.266541,635.695740,34.546352
17,393.043701,-12.298165,12.838453,-10.690039,-12.910441,16.153242,389.506317,566.005676,24.534138,-12.344544,564.326111,19.431734,152.628647,469.773285,33.845314,143.981705,627.100586,33.188175,246.178162,476.153961,34.438126,231.263336,635.687439,34.549469
18,393.052307,-12.306951,12.843976,-10.698859,-12.912664,16.152380,389.503021,566.010498,24.535986,-12.349033,564.325073,19.424789,152.620972,469.782501,33.837360,143.983887,627.101013,33.198566,246.174423,476.137268,34.442097,231.260498,635.687744,34.546127
19,393.050201,-12.299532,12.843259,-10.695534,-12.915986,16.157228,389.501617,566.001404,24.533573,-12.339249,564.320374,19.425510,152.631927,469.779053,33.841160,143.992950,627.101746,33.195229,246.170349,476.153564,34.438911,231.268402,635.684631,34.542759
20,393.044556,-12.300059,12.839920,-10.689431,-12.913452,16.158213,389.505768,566.004761,24.530687,-12.351055,564.323975,19.428785,152.627487,469.779266,33.849445,143.998596,627.094055,33.196320,246.181000,476.148499,34.443012,231.274994,635.687683,34.547836
21,393.053070,-12.304262,12.847741,-10.682245,-12.895555,16.151627,389.509460,566.006714,24.533020,-12.339847,564.328857,19.430418,152.638672,469.775635,33.844109,143.994461,627.103516,33.198132,246.175934,476.155701,34.441174,231.277603,635.686279,34.544315
22,393.051514,-12.294039,12.844016,-10.685428,-12.894345,16.158175,389.504059,566.016907,24.535320,-12.345388,564.349731,19.433002,152.630219,469.779846,33.848793,143.991501,627.097412,33.195221,246.181824,476.161926,34.438953,231.269913,635.685364,34.546574
