Trial10
Date:,2014/06/11
Time:,11:06:00
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,393.255371,-12.060564,14.506601,-10.587587,-13.091080,15.683641,389.839905,566.496643,24.340635,-12.431555,564.533936,19.256275,138.800674,485.292480,33.941410,130.905640,642.541931,32.280323,232.363571,491.320953,34.639904,218.505524,651.101196,33.427929
2,393.207245,-12.095387,14.577140,-10.581148,-13.079381,15.684961,389.844238,566.503906,24.338383,-12.428957,564.528198,19.255657,138.800323,485.303589,33.934528,130.891052,642.548889,32.278008,232.363174,491.320099,34.638702,218.506332,651.103088,33.436008
3,393.242706,-12.067210,14.497309,-10.576846,-13.097538,15.691430,389.835175,566.496460,24.337942,-12.426454,564.530701,19.258606,138.805939,485.309265,33.942444,130.881332,642.551880,32.270340,232.371048,491.318665,34.656204,218.495316,651.093689,33.426884
4,393.208344,-12.102188,14.578561,-10.572660,-13.087205,15.699983,389.841583,566.493958,24.345131,-12.430152,564.526550,19.260084,138.794281,485.300842,33.942429,130.871002,642.556030,32.266411,232.368515,491.309113,34.645294,218.499390,651.102539,33.423157
5,393.201782,-12.069775,14.510074,-10.576204,-13.089973,15.687938,389.842682,566.500122,24.346968,-12.425159,564.524658,19.257681,138.787231,485.295197,33.942127,130.868729,642.557068,32.257835,232.357574,491.311035,34.645817,218.500107,651.097534,33.424400
6,393.247253,-12.063664,14.494325,-10.582023,-13.096478,15.686389,389.847137,566.506592,24.336643,-12.436373,564.523438,19.258415,138.797058,485.305176,33.936314,130.867294,642.556946,32.256733,232.356995,491.318604,34.638714,218.493423,651.096619,33.423992
7,393.139404,-12.168706,14.532133,-10.585187,-13.089742,15.683353,389.834717,566.496277,24.339800,-12.436789,564.523865,19.256319,138.796021,485.294739,33.939594,130.884399,642.551331,32.265751,232.371628,491.321167,34.628838,218.501984,651.100586,33.427227
8,393.246490,-12.067035,14.493576,-10.588038,-13.094967,15.681452,389.836884,566.489014,24.334141,-12.432619,564.526550,19.256845,138.779846,485.288391,33.929432,130.898987,642.541809,32.271465,232.385651,491.316772,34.640095,218.500320,651.094055,33.422291
9,393.250214,-12.064301,14.493227,-10.582306,-13.100088,15.682000,389.829224,566.487854,24.329121,-12.429088,564.526550,19.254076,138.787308,485.289459,33.931366,130.904556,642.541382,32.273407,232.368896,491.320587,34.633175,218.505203,651.094727,33.427700
10,393.255157,-12.069754,14.508797,-10.578111,-13.085779,15.681127,389.844727,566.495728,24.340004,-12.424086,564.518372,19.253096,138.799332,485.294952,33.937698,130.850311,642.519409,32.283154,232.368408,491.309998,34.640545,218.510086,651.101807,33.431561
11,393.253082,-12.069968,14.502144,-10.571472,-13.088665,15.679029,389.833954,566.485657,24.335592,-12.429204,564.526489,19.254837,138.796219,485.305634,33.941551,130.772156,642.470337,32.297604,232.370560,491.312317,34.645210,218.507736,651.099670,33.426037
12,393.254517,-12.059789,14.499845,-10.573639,-13.083228,15.684896,389.837646,566.489685,24.345633,-12.429107,564.529846,19.253410,138.805084,485.306885,33.932091,130.754089,642.462708,32.303921,232.368652,491.313690,34.646038,218.509796,651.095581,33.425507
13,393.260498,-12.066197,14.507214,-10.575891,-13.098189,15.687294,389.835754,566.494019,24.334673,-12.430530,564.526550,19.256926,138.808762,485.309753,33.943329,130.653763,642.391052,32.336506,232.375748,491.319275,34.634632,218.507446,651.102783,33.427105
14,393.218018,-12.090213,14.573245,-10.575067,-13.090807,15.688720,389.841858,566.497742,24.342400,-12.427546,564.518005,19.253981,138.806702,485.306396,33.933384,130.284134,642.234741,32.359261,232.368851,491.313385,34.642700,218.493774,651.102661,33.420094
15,393.251190,-12.066420,14.499348,-10.585124,-13.096423,15.686853,389.841949,566.506958,24.343412,-12.424367,564.522339,19.257614,138.795410,485.302429,33.936443,131.102097,642.548828,32.346294,232.371201,491.317047,34.636929,218.506042,651.088257,33.425037
16,393.205627,-12.053719,14.495667,-10.572411,-13.095377,15.683803,389.835297,566.498535,24.330135,-12.427584,564.528381,19.258707,138.800842,485.306366,33.935303,131.131042,642.552246,32.350803,232.371124,491.318542,34.637753,218.502686,651.091797,33.423485
17,393.248322,-12.064375,14.501883,-10.581591,-13.094819,15.682879,389.844238,566.487488,24.345407,-12.423480,564.522705,19.257217,138.795624,485.298340,33.934814,131.111053,642.555664,32.338593,232.371796,491.313843,34.639484,218.502869,651.098389,33.427864
