Trial03b
Date:,2014/06/11
Time:,10:45:21
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
24,393.938934,-11.916895,16.642328,-10.043392,-13.664730,16.220985,389.095215,566.712646,24.345272,-12.857243,564.383423,19.888882,185.183716,341.127655,33.912983,171.480225,497.773468,32.886280,278.733734,350.313354,34.258610,258.571991,509.725555,33.820759
25,393.908447,-11.903723,16.663120,-10.052215,-13.662323,16.221022,389.085388,566.703003,24.347057,-12.842134,564.375183,19.843569,185.163223,341.129578,33.905739,171.480042,497.769043,32.888294,278.699829,350.306976,34.248672,258.565186,509.726044,33.805782
26,393.906219,-11.893736,16.679482,-10.075551,-13.656130,16.209827,389.088654,566.715881,24.341320,-12.833248,564.379150,19.819685,185.157928,341.124725,33.901638,171.467331,497.773651,32.861286,278.690277,350.302765,34.238010,258.558746,509.721161,33.794598
27,393.887085,-11.892832,16.664051,-10.071581,-13.643355,16.205318,389.074738,566.712280,24.351816,-13.139904,563.953918,19.939583,185.159958,341.130127,33.906399,171.472214,497.766815,32.880371,278.672272,350.320526,34.244064,258.545013,509.727173,33.798771
28,393.893951,-11.903470,16.668184,-10.070537,-13.649515,16.211094,389.077301,566.732849,24.345022,-13.179222,563.871704,19.907305,185.159180,341.127777,33.897480,171.477264,497.769775,32.866211,278.665985,350.313843,34.243843,258.540588,509.726288,33.819988
29,393.891754,-11.883440,16.672230,-10.068280,-13.647636,16.201143,389.101563,566.744263,24.271467,-13.061134,563.896912,19.730371,185.162552,341.127136,33.891640,171.485855,497.771057,32.871220,278.692413,350.308167,34.249935,258.550415,509.730377,33.821682
30,393.907257,-11.886793,16.673607,-10.058507,-13.646903,16.209665,389.122620,566.743286,24.239656,-13.094110,563.926086,19.849312,185.161865,341.119568,33.911293,171.476852,497.780701,32.856972,278.722534,350.296906,34.243793,258.568115,509.729156,33.806141
31,393.905670,-11.914315,16.678648,-10.040551,-13.646574,16.213749,389.137604,566.728394,24.240742,-12.996301,563.969238,19.718962,185.186310,341.130005,33.910954,171.281998,497.524170,33.450405,278.733643,350.301331,34.241249,258.596344,509.724030,33.758335
32,393.911407,-11.919213,16.654869,-10.040507,-13.648215,16.215635,389.144104,566.718384,24.237522,-13.135050,563.886169,19.888639,185.188431,341.124176,33.905998,171.712067,497.163849,33.623680,278.746521,350.293121,34.243309,258.609070,509.716705,33.713463
33,393.943817,-11.921425,16.646505,-10.023398,-13.642740,16.210836,389.150055,566.725952,24.234554,-13.156390,563.895752,19.924133,185.210007,341.122711,33.915108,172.306305,496.699219,33.777317,278.760895,350.270660,34.224907,258.622986,509.709076,33.700783
34,393.944183,-11.909739,16.644747,-10.012421,-13.647663,16.224737,389.154785,566.723877,24.232817,-13.132655,563.892212,19.877813,185.210083,341.118835,33.905659,172.336166,496.673462,33.794201,278.761414,350.266479,34.224476,258.625854,509.705322,33.728104
35,393.956696,-11.921452,16.645555,-10.015737,-13.665949,16.221653,389.160400,566.728577,24.237923,-12.984879,563.924194,19.662994,185.202087,341.100983,33.902779,172.313904,496.680176,33.798496,278.766907,350.261749,34.222404,258.607727,509.704498,33.769836
36,393.950531,-11.933458,16.646294,-10.013197,-13.663970,16.218658,389.166046,566.715210,24.236328,-12.912030,563.937622,19.566492,185.207520,341.111389,33.906799,172.315414,496.669800,33.811066,278.759918,350.265991,34.226345,258.606781,509.705872,33.800415
37,393.939728,-11.939185,16.658230,-10.035965,-13.670952,16.219069,389.165985,566.703735,24.258018,-12.637380,564.336792,19.457771,185.186478,341.100891,33.898670,172.303207,496.670685,33.805386,278.743958,350.263763,34.234921,258.600342,509.703461,33.804665
38,393.932922,-11.941640,16.660458,-10.043524,-13.675866,16.211121,389.156921,566.694214,24.285131,-12.585389,564.386719,19.415409,185.199539,341.087738,33.892292,172.311279,496.677734,33.787132,278.742920,350.265656,34.247417,258.599213,509.700592,33.792389
39,393.893311,-11.967328,16.716192,-10.039114,-13.670841,16.207962,389.141235,566.693787,24.282736,-12.610996,564.351746,19.386229,185.189270,341.098785,33.881111,172.304764,496.682739,33.752499,278.730835,350.276581,34.262356,258.589722,509.700043,33.759766
40,393.889496,-11.926170,16.723352,-10.037025,-13.674819,16.203650,389.142731,566.701233,24.284794,-12.707087,564.352112,19.251686,185.175598,341.099792,33.867474,171.735626,497.129822,33.555908,278.730377,350.289612,34.263542,258.592285,509.699036,33.711849
41,393.890686,-11.947427,16.748575,-10.046378,-13.663072,16.211285,389.148560,566.704346,24.290096,-12.680820,564.385498,19.177214,185.175995,341.106628,33.862991,171.698547,497.175476,33.558262,278.728973,350.279236,34.257614,258.624420,509.688995,33.682251
42,393.885468,-11.919158,16.746151,-10.044916,-13.648746,16.214489,389.159027,566.708008,24.305662,-12.648199,564.341003,19.087679,185.184814,341.102631,33.858517,171.733246,497.149628,33.593975,278.727966,350.275635,34.245659,258.652222,509.685791,33.729160
43,393.905731,-11.922436,16.760805,-10.030204,-13.639840,16.207224,389.173706,566.709534,24.314053,-12.530649,564.329346,19.146236,185.187805,341.098389,33.855862,172.294891,496.713593,33.763348,278.728485,350.262817,34.255268,258.648193,509.684509,33.814621
44,393.922211,-11.966649,16.790216,-10.035358,-13.653124,16.194769,389.185577,566.687500,24.329187,-12.501184,564.307007,19.127760,185.193024,341.092468,33.835812,172.340103,496.669647,33.761509,278.757385,350.259369,34.269577,258.625244,509.682098,33.911358
45,393.914886,-11.961784,16.797533,-10.020381,-13.674238,16.197906,389.171692,566.672058,24.348076,-12.499825,564.293640,19.103245,185.190201,341.076569,33.813007,172.307663,496.685455,33.684807,278.747986,350.249603,34.262356,258.605743,509.676544,33.900238
46,393.920197,-12.019007,16.830290,-10.029832,-13.700603,16.195610,389.150116,566.648621,24.368311,-12.404049,563.948792,19.072001,185.181915,341.069641,33.816566,172.285965,496.681824,33.610706,278.743439,350.245392,34.270748,258.601227,509.669189,33.814751
47,393.901794,-12.043417,16.848246,-10.027447,-13.741895,16.177591,389.123016,566.633789,24.363480,-12.422302,563.899902,19.049459,185.163315,341.059662,33.799534,172.249863,496.686005,33.531994,278.730194,350.239441,34.270401,258.578644,509.640289,33.746178
48,393.903046,-12.055258,16.855463,-10.038406,-13.750837,16.168459,389.102509,566.620178,24.360641,-12.453844,563.902405,19.030306,185.161011,341.058014,33.805584,172.227386,496.679596,33.502693,278.716827,350.225159,34.281746,258.570679,509.630676,33.732117
49,393.907440,-12.066669,16.891388,-10.053309,-13.761534,16.164526,389.086548,566.613525,24.377853,-12.492843,563.904175,19.007751,185.162506,341.055786,33.800526,172.215424,496.677856,33.492226,278.701996,350.229736,34.292007,258.548157,509.623383,33.713955
50,393.883881,-12.089052,16.923891,-10.058262,-13.742919,16.166119,389.081512,566.616760,24.377737,-12.583738,563.794495,19.289820,185.151672,341.045898,33.794178,172.238464,496.673981,33.557686,278.671417,350.228455,34.305798,258.551361,509.622437,33.774723
51,393.878296,-12.079462,16.941526,-10.064887,-13.730390,16.161448,389.086243,566.622375,24.379765,-12.600490,563.967712,19.217932,185.169479,341.046234,33.793610,172.266708,496.657349,33.642574,278.678131,350.226044,34.293385,258.532867,509.631256,33.826542
52,393.874756,-12.020821,16.944365,-10.067277,-13.690175,16.169561,389.087433,566.620544,24.431959,-12.586080,564.055420,19.205631,185.177048,341.036346,33.767490,172.278534,496.657623,33.711548,278.693390,350.238342,34.249874,258.551086,509.658386,33.907124
53,393.909027,-11.993526,16.914204,-10.049239,-13.663937,16.167189,389.127594,566.658691,24.411045,-12.596127,564.057617,19.203968,185.194824,341.047638,33.767307,172.281555,496.657562,33.753258,278.714111,350.264771,34.247299,258.543213,509.670074,33.952160
54,393.926331,-11.954401,16.876040,-10.032431,-13.640500,16.181227,389.130615,566.680359,24.415844,-12.630272,564.050171,19.177658,185.187515,341.045746,33.765556,172.290085,496.670532,33.746052,278.717621,350.267914,34.248993,258.550568,509.688965,33.953030
55,393.925232,-11.959240,16.871479,-10.030244,-13.636809,16.190405,389.150726,566.658813,24.444643,-12.622069,564.052185,19.184227,185.204865,341.053345,33.768196,172.289734,496.671844,33.744480,278.720642,350.273285,34.252552,258.569061,509.693542,33.932846
56,393.941315,-11.957926,16.878553,-10.002287,-13.642394,16.190493,389.179108,566.687073,24.372734,-12.583691,564.062134,19.204626,185.206665,341.047211,33.762932,171.199966,497.550232,33.408775,278.756409,350.256744,34.233070,258.587128,509.688232,33.915089
57,393.949860,-11.966620,16.891207,-10.012251,-13.662908,16.180178,389.212646,566.689697,24.298677,-12.578773,564.066895,19.207935,185.217529,341.045197,33.759613,171.047058,497.598206,33.496082,278.957886,350.384216,34.394142,258.605927,509.681427,33.877144
58,393.934479,-11.998179,16.867273,-9.998940,-13.678028,16.177284,389.213989,566.678406,24.282972,-12.581699,564.062744,19.205145,185.218719,341.052948,33.771030,171.080353,497.552521,33.518929,278.775208,350.244141,34.231312,258.618744,509.661896,33.863838
59,393.922577,-12.000382,16.856419,-10.012103,-13.698834,16.170496,389.196014,566.663635,24.325249,-12.588743,564.049805,19.201071,185.202316,341.047302,33.770138,172.555542,496.559387,33.704861,278.758026,350.244385,34.244747,258.607635,509.671021,33.937592
60,393.905457,-12.019850,16.868343,-10.021969,-13.690309,16.166512,389.138367,566.641052,24.400574,-12.597024,564.045898,19.194941,185.192154,341.055756,33.787560,171.107574,497.471924,33.768658,278.718292,350.273438,34.272999,258.583252,509.631317,34.096069
61,393.903503,-12.004786,16.885714,-10.051237,-13.683166,16.170004,389.085144,566.637878,24.451775,-12.598158,564.053772,19.204691,185.170517,341.068146,33.813580,171.581009,497.087952,34.009552,278.688202,350.288452,34.331959,258.589203,509.631836,34.245720
62,393.876190,-11.991758,16.927498,-10.078611,-13.668134,16.168505,389.068268,566.660828,24.448793,-12.607288,564.058105,19.203672,185.168427,341.082397,33.834900,171.649200,497.146484,33.942154,278.647980,350.311066,34.367119,258.584595,509.705200,34.429333
63,393.887421,-11.970273,16.938694,-10.093384,-13.660505,16.156647,389.054932,566.662598,24.461044,-12.608119,564.058167,19.203287,185.159683,341.111664,33.866268,171.406570,497.212708,34.177689,278.584381,350.302643,34.409012,258.580688,509.689575,34.621994
64,393.854065,-11.958225,16.938284,-10.092073,-13.643341,16.154137,389.031830,566.655334,24.486612,-12.624875,564.061951,19.195005,185.147720,341.140961,33.896431,171.621796,497.093353,34.345871,278.519836,350.299713,34.457729,258.570160,509.665802,34.820194
65,393.871033,-11.948853,16.956139,-10.082850,-13.638441,16.148323,389.032623,566.647888,24.505232,-12.633514,564.065918,19.184454,185.139633,341.178314,33.919300,170.953049,497.760284,34.195324,278.463470,350.301147,34.520107,258.611267,509.603943,35.005886
66,393.888245,-11.981531,16.969130,-10.076766,-13.655752,16.145544,389.031647,566.635742,24.510387,-12.637341,564.065430,19.189413,185.136520,341.211578,33.947369,170.943832,497.921417,34.292194,278.387817,350.275665,34.555092,258.679504,509.536133,35.146408
67,393.866608,-11.981680,16.978556,-10.070845,-13.670981,16.138506,389.035065,566.632141,24.510880,-12.636443,564.057556,19.179951,185.159698,341.261810,33.979740,171.853149,497.427917,34.651638,278.299591,350.229706,34.596535,258.716858,509.486084,35.225960
68,393.880585,-12.007146,16.995218,-10.059615,-13.698930,16.143375,389.036835,566.611084,24.540752,-12.645394,564.053162,19.170282,185.123764,341.320923,34.009007,172.077927,497.524445,34.839027,278.212280,350.217072,34.603073,258.841553,509.467224,35.377213
69,393.894897,-12.042090,17.017761,-10.052144,-13.695391,16.143902,389.014984,566.576355,24.605196,-12.641713,564.044800,19.172016,185.052750,341.465424,34.098404,172.197083,497.705292,34.960037,278.130646,350.237518,34.572353,258.961029,509.472992,35.579098
70,393.888763,-12.009377,16.999933,-10.052816,-13.710319,16.148609,388.998566,566.537964,24.698036,-12.670042,564.035950,19.150387,184.935043,341.581390,34.315029,172.160522,498.486450,34.184250,277.970581,350.286285,34.460152,259.060333,509.565247,35.787125
71,393.890289,-11.975204,17.002457,-10.050068,-13.682128,16.153160,388.999786,566.514221,24.760357,-12.714861,564.054993,19.132320,184.847504,341.703888,34.469070,172.086227,498.109741,35.220524,277.834320,350.379456,34.408344,259.107574,509.572571,36.188549
72,393.887207,-11.947647,17.004120,-10.052795,-13.659608,16.144491,389.001556,566.509521,24.790043,-12.724270,564.064087,19.127645,184.669296,341.804474,34.779419,172.388016,497.913116,35.737450,277.757629,350.434845,34.370960,259.114929,509.606232,36.632362
73,393.884552,-11.964299,17.009398,-10.075864,-13.643431,16.146143,389.006500,566.515625,24.801493,-12.716383,564.056641,19.131693,184.707077,342.065002,35.373291,171.711975,498.485291,36.041878,277.733521,350.499878,34.398323,259.109283,509.663391,36.861431
74,393.866730,-11.949538,16.996681,-10.080644,-13.631999,16.149679,389.001587,566.535461,24.784954,-12.719957,564.060852,19.130981,184.628311,342.175964,35.922005,171.726898,498.673645,36.257126,277.691284,350.639587,34.296513,259.056946,509.820679,36.938831
75,393.855865,-11.946087,16.997694,-10.083081,-13.640686,16.144552,388.994873,566.560913,24.762236,-12.688346,564.063660,19.151281,184.271591,342.525574,37.017406,171.807068,498.868378,36.554424,277.833557,350.925903,34.180183,259.026611,510.004425,36.966305
76,393.833954,-11.940025,16.974140,-10.086223,-13.645934,16.149656,389.008759,566.566589,24.722530,-12.612977,564.077820,19.203676,184.836029,342.760956,37.651085,172.010712,498.802856,37.216450,277.969788,351.183746,34.213104,259.042603,510.109924,36.963074
77,393.895905,-11.956567,16.967400,-10.072368,-13.660682,16.154657,389.017273,566.563660,24.709278,-12.598175,564.075500,19.213957,185.383240,343.034180,38.692028,172.078522,498.988556,37.410522,278.162384,351.445740,34.298252,259.122589,510.306610,36.951244
78,393.891632,-11.965224,16.934313,-10.059868,-13.665087,16.155132,389.019104,566.574219,24.692263,-12.575866,564.094482,19.232395,185.425705,343.215088,39.948017,171.794510,499.527466,37.493958,278.378082,351.834930,34.439968,259.299225,510.701752,36.943081
79,393.915558,-11.980521,16.916359,-10.046611,-13.677165,16.157173,389.035400,566.576416,24.661488,-12.554464,564.117249,19.270082,185.818466,343.480042,41.000031,171.893585,499.596466,37.912903,278.641754,352.129944,34.958191,259.471619,511.024597,37.009319
80,393.928619,-11.965955,16.883518,-10.033642,-13.688922,16.168365,389.056915,566.607483,24.589544,-12.547501,564.130310,19.297396,185.967087,343.888336,42.104580,172.068863,500.101807,38.469715,278.826050,352.316956,35.498413,259.593964,511.192474,37.221767
81,393.919922,-11.956180,16.840809,-10.045797,-13.682557,16.173725,389.073730,566.634460,24.568106,-12.678955,564.185242,19.290852,186.031708,344.158813,43.085949,172.187576,500.268188,38.708031,279.040649,352.684052,36.678875,259.805450,511.420807,37.593235
82,393.928009,-11.935515,16.802853,-10.041237,-13.666869,16.184223,389.093719,566.643066,24.559000,-12.621271,564.199280,19.475328,186.232971,344.429810,44.264816,172.410919,500.594421,39.263538,279.161499,352.672546,38.245304,259.993439,511.656982,37.948498
83,393.906952,-11.921285,16.764473,-10.054905,-13.662066,16.197916,389.100250,566.650574,24.536861,-12.902755,563.877869,19.623608,186.276962,344.749481,45.541061,172.693451,500.953705,39.864822,279.037170,352.943542,39.892647,260.295654,511.929565,38.655270
84,393.902832,-11.940358,16.748219,-10.054545,-13.647566,16.193804,389.102356,566.678833,24.486996,-13.011221,563.832886,19.740911,186.281021,344.930054,46.702438,173.414764,500.893799,40.805794,279.134735,353.199707,41.692989,260.440308,512.267395,39.893158
85,393.888306,-11.908472,16.722330,-10.056254,-13.649319,16.201385,389.099060,566.689575,24.422745,-12.791455,564.233276,19.866478,186.162430,345.174957,48.128445,173.987183,501.036682,41.688145,279.333771,353.501129,43.498440,260.689453,512.544373,40.846401
86,393.909515,-11.890718,16.666187,-10.058512,-13.652991,16.202541,389.110687,566.699341,24.363520,-12.834921,564.250305,20.031437,185.979813,345.620972,49.279842,173.350998,501.863495,42.341103,279.286041,353.646271,45.576618,260.990448,512.679016,42.121605
87,393.901764,-11.926319,16.649578,-10.061580,-13.669558,16.212271,389.127563,566.713257,24.319778,-12.875690,564.251404,20.166292,185.957901,346.013977,50.732727,173.655563,502.114899,43.608387,279.086578,353.830841,47.349194,261.089569,512.894714,43.724010
88,393.908295,-11.944784,16.629276,-10.056104,-13.669916,16.213045,389.146912,566.709229,24.288696,-12.883362,564.233215,20.295361,185.858917,346.356476,52.380665,173.743210,502.444702,44.888481,278.968475,353.944427,48.880306,261.228394,512.973633,45.098221
89,394.021759,-12.038291,16.574635,-10.030900,-13.682871,16.216251,389.158020,566.707703,24.270876,-12.864052,564.246704,20.378035,185.680511,346.700378,53.827690,173.691376,503.205902,45.801472,279.037415,353.914001,50.423180,261.356842,513.038818,46.809830
90,394.001129,-12.045197,16.600269,-10.042960,-13.698955,16.219719,389.163330,566.708130,24.255222,-12.846160,564.251648,20.455780,185.823868,346.961395,55.710915,174.251709,503.074860,47.658089,279.147644,354.041748,52.295799,261.730469,513.467651,48.482006
91,394.071716,-12.042673,16.514862,-10.020463,-13.684652,16.222538,389.183105,566.695068,24.247499,-12.839020,564.268311,20.476025,185.984146,347.433350,57.923473,174.230194,503.707611,48.970066,279.150299,354.158752,54.331451,261.925842,513.697571,50.308384
92,394.052490,-12.044295,16.535088,-10.022053,-13.678948,16.229345,389.181641,566.706604,24.248466,-12.822411,564.294678,20.494144,186.099777,347.635529,60.100716,174.533066,503.930359,50.806419,279.265503,354.393433,56.461052,262.182404,513.777344,52.078205
93,393.970276,-11.973310,16.570324,-10.028669,-13.674895,16.233898,389.175873,566.709351,24.246853,-12.842102,564.266968,20.497692,186.519684,347.932495,63.243114,175.548065,503.879181,52.455883,279.283142,354.391449,58.835182,262.420837,514.065735,53.592789
94,394.008545,-12.033010,16.567087,-10.038658,-13.666217,16.237707,389.167847,566.730896,24.249847,-12.847591,564.238464,20.534180,186.688675,348.186066,65.990807,174.944717,504.710266,54.291325,279.278381,354.600311,61.592907,262.854279,513.957397,55.448936
95,393.998596,-12.011875,16.551094,-10.033434,-13.666013,16.235723,389.163177,566.732849,24.254662,-12.895940,564.381042,20.495785,186.780197,348.469940,68.913124,175.602188,504.784363,56.564217,279.276978,354.621826,64.486084,263.274078,514.052673,57.351509
96,394.011505,-12.030587,16.540154,-10.032580,-13.665478,16.231709,389.157196,566.727661,24.256639,-12.907466,564.373840,20.464071,186.752686,348.584503,72.101997,176.460617,505.050262,59.133785,279.520142,354.811035,67.640175,263.597900,514.038330,59.204903
97,393.990692,-12.021166,16.586138,-10.048689,-13.672186,16.226225,389.153900,566.714844,24.261612,-12.912356,564.357300,20.449986,186.630920,348.861664,75.456818,176.627487,505.242981,61.294743,279.352783,354.893219,71.023834,263.966217,514.189209,61.282658
98,393.940430,-11.942504,16.591923,-10.054570,-13.680796,16.226133,389.145172,566.712952,24.274851,-12.919773,564.342346,20.441887,186.509766,349.344055,79.112793,176.707214,505.572388,63.311905,279.304657,354.957336,74.198860,264.239471,514.395386,63.449738
99,393.994141,-12.020369,16.567459,-10.061437,-13.686915,16.221962,389.142059,566.707031,24.276058,-12.921442,564.354736,20.427704,185.917099,350.022217,82.377281,176.701477,505.878448,65.761520,278.893005,355.027802,77.779343,264.334747,514.431396,65.946815
100,394.017700,-12.041065,16.545797,-10.065432,-13.680055,16.224539,389.132843,566.700073,24.281012,-12.925564,564.341736,20.426003,185.716629,350.135223,86.297066,176.813248,506.230713,68.452148,278.401886,354.806549,81.692551,264.536194,514.469299,68.689499
