Trial06
Date:,2014/06/11
Time:,10:54:53
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,393.096405,-12.318019,12.917675,-10.991827,-12.710818,16.177738,389.751587,566.021790,24.700506,-12.332039,564.468933,19.556919,165.494308,462.625641,34.079239,,,,259.436554,464.085541,34.760864,253.294098,624.407349,35.040676
2,393.100647,-12.314850,12.917876,-10.675639,-12.911308,16.220806,389.727295,565.994263,24.735340,-12.374325,564.441956,19.497410,165.501602,462.622833,34.073372,,,,259.432373,464.089142,34.753815,253.282669,624.409912,35.037823
3,393.091187,-12.330646,12.905504,-10.984466,-12.719855,16.179289,389.711761,566.003906,24.733095,-12.335116,564.472351,19.560236,165.490204,462.617920,34.072212,,,,259.423462,464.084167,34.742058,253.279892,624.408447,35.035042
4,393.091980,-12.326933,12.902249,-10.687899,-12.908323,16.214748,389.715729,565.991638,24.737484,-12.327267,564.484924,19.560858,165.485626,462.625671,34.072041,,,,259.427124,464.085785,34.740166,253.270050,624.394348,35.038933
5,393.100647,-12.320904,12.915401,-10.672454,-12.916698,16.211843,389.730499,566.020020,24.701750,-12.375628,564.449280,19.503143,165.502060,462.622498,34.070240,,,,259.377197,464.139160,34.781128,253.274796,624.396118,35.050159
6,393.087189,-12.317936,12.924314,-10.670732,-12.903480,16.214352,389.730347,566.010559,24.698866,-12.331187,564.474854,19.564297,165.504196,462.623108,34.067135,,,,259.384460,464.141327,34.774982,253.274246,624.394104,35.037212
7,393.094971,-12.325807,12.901653,-10.674226,-12.903622,16.210392,389.734741,566.016724,24.691881,-12.329557,564.476440,19.564066,165.502762,462.624512,34.069740,,,,259.382813,464.144196,34.779186,253.273682,624.391541,35.047741
8,393.104004,-12.318668,12.923590,-10.670040,-12.901507,16.210815,389.741241,566.010010,24.695536,-12.329957,564.471130,19.558041,165.506226,462.621613,34.072472,,,,259.421265,464.089844,34.755741,253.282104,624.399414,35.045799
9,393.100006,-12.332389,12.907658,-10.672763,-12.909921,16.210205,389.737152,566.018372,24.691626,-12.333878,564.481201,19.561390,165.505325,462.627594,34.063934,,,,259.420013,464.076599,34.747334,253.293304,624.407227,35.039352
10,393.092896,-12.331806,12.896539,-10.670912,-12.903637,16.211632,389.748779,566.025269,24.696825,-12.327095,564.479736,19.559277,165.502502,462.625946,34.072910,,,,259.420715,464.082214,34.753014,253.292145,624.399109,35.034237
11,393.097565,-12.312658,12.914619,-10.674837,-12.907795,16.223616,389.751526,566.026672,24.693764,-12.332453,564.471741,19.556511,165.512283,462.622589,34.067459,,,,259.429382,464.086243,34.747749,253.283569,624.415771,35.042778
12,393.097107,-12.318765,12.919225,-10.675159,-12.917339,16.218590,389.751160,566.027649,24.698261,-12.320376,564.480225,19.565083,165.518509,462.630249,34.078773,,,,259.427246,464.089661,34.746029,253.304337,624.419006,35.046776
13,393.093231,-12.311751,12.910871,-10.668264,-12.909516,16.215538,389.754547,566.027954,24.692772,-12.333027,564.477051,19.558077,165.509521,462.626740,34.070553,,,,259.426147,464.089447,34.760086,253.286133,624.408875,35.049603
14,393.100800,-12.315998,12.912812,-10.670264,-12.903008,16.215843,389.756012,566.020020,24.700972,-12.327376,564.479248,19.559740,165.505341,462.622559,34.080536,,,,259.413422,464.147644,34.763474,253.307129,624.407288,35.044392
15,393.095032,-12.322154,12.900835,-10.675086,-12.909801,16.211695,389.743805,566.010071,24.701204,-12.330819,564.473267,19.560574,165.497650,462.626068,34.067322,,,,259.403900,464.152405,34.781635,253.284164,624.404114,35.040779
16,393.094666,-12.315227,12.901904,-10.676424,-12.921655,16.214224,389.722137,565.985413,24.736485,-12.328359,564.471130,19.561060,165.511383,462.625031,34.073170,,,,259.408539,464.137451,34.753437,253.283417,624.411804,35.039417
17,393.090057,-12.315329,12.901432,-10.675142,-12.918557,16.217749,389.736359,566.010559,24.694769,-12.372003,564.440063,19.503946,165.495483,462.624084,34.076092,,,,259.417053,464.092102,34.747429,253.285889,624.411316,35.033024
18,393.106781,-12.322086,12.915582,-10.992230,-12.715312,16.176743,389.746185,566.013123,24.695494,-12.374132,564.446838,19.498468,165.499039,462.620911,34.060627,,,,259.418579,464.080383,34.742855,253.276108,624.401978,35.038727
19,393.094452,-12.327852,12.905420,-10.691321,-12.914804,16.214012,389.717560,565.980957,24.739048,-12.330666,564.474792,19.558931,165.476868,462.619293,34.072891,,,,259.390137,464.125549,34.777828,253.271042,624.399048,35.036480
