Timestamp, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagnetometerX, MagnetometerY, MagnetometerZ, DMUserAccelerationX, DMUserAccelerationY, DMUserAccelerationZ, DMGravityX, DMGravityY, DMGravityZ, DMMagX, DMMagY, DMMagZ, DMAttitudeX, DMAttitudeY, DMAttitudeZ, DMAttitudeW 
424169655.557306, -0.02250671, -0.40921021, -0.91004944, 0.04217089, -0.10708624, -0.10376954, -160.32463074, 143.89862061, 235.81204224, -0.03926187, -0.36795259, -0.92901528, 0.00404458, -0.02763152, -0.08273398, 0.00000000, 0.00000000, 0.00000000, 0.07084630, -0.17456563, -0.86568378, 0.46378792
424169655.573781, -0.02250671, -0.40921021, -0.91004944, -0.02123977, -0.09376005, -0.08093133, -158.10028076, 143.72750854, 235.31278992, -0.03999979, -0.36863977, -0.92871135, 0.01090129, -0.03519933, -0.00349387, 0.00000000, 0.00000000, 0.00000000, 0.07053637, -0.17512555, -0.86601139, 0.46301180
424169655.592703, -0.04057312, -0.40126038, -0.90739441, -0.03309510, -0.09714093, -0.07180069, -159.12690735, 142.01647949, 235.64562988, -0.04033226, -0.36983433, -0.92822188, 0.01896995, -0.03766688, 0.01292342, 0.00000000, 0.00000000, 0.00000000, 0.07054067, -0.17582113, -0.86627560, 0.46225266
424169655.605024, -0.05847168, -0.39868164, -0.89653015, -0.06943127, -0.02242462, -0.10235700, -159.12690735, 142.01647949, 235.64562988, -0.04150879, -0.36922216, -0.92841369, 0.00093567, -0.03203821, 0.02101930, 0.00000000, 0.00000000, 0.00000000, 0.06975674, -0.17586115, -0.86659490, 0.46175766
424169655.623442, -0.06059265, -0.39395142, -0.91093445, -0.06794789, 0.06860143, -0.10431309, -159.29800415, 143.89862061, 235.47920227, -0.04183872, -0.36817765, -0.92881364, -0.01663296, -0.03050399, 0.03228347, 0.00000000, 0.00000000, 0.00000000, 0.06924130, -0.17549596, -0.86697374, 0.46126277
424169655.636372, -0.00848389, -0.40122986, -0.96701050, -0.07323746, 0.17356567, -0.12356588, -158.78469849, 144.75413513, 236.31129456, -0.04151000, -0.36807460, -0.92886919, -0.01644288, -0.02351171, 0.02666279, 0.00000000, 0.00000000, 0.00000000, 0.06926317, -0.17540812, -0.86724974, 0.46077379
424169655.652816, -0.00848389, -0.40122986, -0.96701050, -0.05625102, 0.13502173, -0.11239312, -160.15353394, 142.35868835, 237.30978394, -0.03882668, -0.36692068, -0.92944163, -0.00510337, -0.03072337, -0.00062736, 0.00000000, 0.00000000, 0.00000000, 0.07007246, -0.17426716, -0.86767209, 0.46028898
424169655.668236, 0.05825806, -0.40713501, -1.01715088, -0.00642994, 0.02653520, -0.05665449, -161.18016052, 145.43855286, 236.64411926, -0.03369772, -0.36607397, -0.92997545, 0.06502402, -0.03785671, -0.07126052, 0.00000000, 0.00000000, 0.00000000, 0.07203375, -0.17269458, -0.86814707, 0.45968293
424169655.683794, 0.01638794, -0.39291382, -0.98356628, 0.04982588, -0.05294391, -0.02364195, -159.98242188, 145.60966492, 237.14337158, -0.03242770, -0.36557484, -0.93021691, 0.09068576, -0.04156018, -0.08693397, 0.00000000, 0.00000000, 0.00000000, 0.07242095, -0.17218232, -0.86836330, 0.45940574
424169655.701642, -0.03807068, -0.36993408, -0.91937256, 0.05982126, -0.09157120, -0.03232971, -159.98242188, 145.60966492, 237.14337158, -0.03283425, -0.36589798, -0.93007559, 0.04922219, -0.02701583, -0.05349071, 0.00000000, 0.00000000, 0.00000000, 0.07229256, -0.17244129, -0.86839825, 0.45926273
424169655.715936, -0.01924133, -0.37654114, -0.89956665, 0.03647599, -0.08697485, -0.06508526, -161.69346619, 145.26745605, 237.14337158, -0.03329290, -0.36670882, -0.92973989, 0.01989568, -0.01515763, -0.02558240, 0.00000000, 0.00000000, 0.00000000, 0.07224541, -0.17294701, -0.86842896, 0.45902186
424169655.732076, -0.01924133, -0.37654114, -0.89956665, 0.01949833, -0.04964798, -0.08442514, -160.49574280, 143.72750854, 236.97695923, -0.03443666, -0.36711898, -0.92953634, 0.00283571, -0.00547013, 0.02533100, 0.00000000, 0.00000000, 0.00000000, 0.07175703, -0.17344385, -0.86858161, 0.45862200
424169655.748203, -0.01115417, -0.37745667, -0.89962769, 0.03010704, 0.02502812, -0.07957579, -161.00904846, 144.58303833, 236.81053162, -0.03417480, -0.36782163, -0.92926818, 0.02518737, -0.00842958, 0.02214841, 0.00000000, 0.00000000, 0.00000000, 0.07193457, -0.17375654, -0.86881766, 0.45802833
424169655.764587, -0.01708984, -0.37342834, -0.89256287, 0.01122549, 0.09399121, -0.08094944, -159.12690735, 143.38529968, 237.30978394, -0.03387274, -0.36809817, -0.92916971, 0.02271856, -0.00935849, 0.02954204, 0.00000000, 0.00000000, 0.00000000, 0.07204160, -0.17385381, -0.86904959, 0.45753434
424169655.778863, -0.00862122, -0.37162781, -0.90159607, -0.01514007, 0.06496355, -0.07938111, -157.41586304, 144.41192627, 236.64411926, -0.03241614, -0.36815619, -0.92919868, 0.01532630, -0.00527214, 0.03663582, 0.00000000, 0.00000000, 0.00000000, 0.07265272, -0.17355759, -0.86920965, 0.45724602
424169655.794368, -0.02084351, -0.37348938, -0.92126465, -0.03129454, 0.01373579, -0.07225822, -158.27139282, 144.58303833, 236.81053162, -0.03027402, -0.36846977, -0.92914665, 0.02165280, -0.00315804, 0.02755059, 0.00000000, 0.00000000, 0.00000000, 0.07361711, -0.17322584, -0.86939864, 0.45685811
424169655.810605, -0.02084351, -0.37348938, -0.92126465, -0.02896001, 0.01255547, -0.07225342, -158.27139282, 144.58303833, 236.81053162, -0.02954309, -0.36791295, -0.92939079, 0.01555078, -0.00429468, 0.02158440, 0.00000000, 0.00000000, 0.00000000, 0.07374209, -0.17281986, -0.86963311, 0.45654535
424169655.825800, -0.03057861, -0.37570190, -0.92570496, -0.02831633, 0.04983707, -0.08326320, -157.92918396, 144.24082947, 236.81053162, -0.02881599, -0.36760455, -0.92953569, 0.00754524, -0.00902815, 0.00599745, 0.00000000, 0.00000000, 0.00000000, 0.07391570, -0.17253591, -0.86987303, 0.45616745
424169655.842062, -0.03320312, -0.37738037, -0.91722107, -0.02910915, 0.07077590, -0.09572440, -159.29800415, 144.58303833, 235.81204224, -0.02791584, -0.36696652, -0.92981517, -0.00266277, -0.00873538, 0.00411023, 0.00000000, 0.00000000, 0.00000000, 0.07408652, -0.17205696, -0.87014484, 0.45580209
424169655.859117, -0.04147339, -0.36610413, -0.88136292, -0.01900165, 0.18268300, -0.11120855, -157.75807190, 143.72750854, 236.31129456, -0.02660024, -0.36637849, -0.93008560, -0.00660288, -0.01100189, 0.01286454, 0.00000000, 0.00000000, 0.00000000, 0.07444869, -0.17150682, -0.87043672, 0.45539294
424169655.873677, -0.07173157, -0.35076904, -0.87707520, -0.02035720, 0.31212727, -0.13233940, -160.49574280, 145.43855286, 236.31129456, -0.02459888, -0.36654902, -0.93007350, -0.01687451, 0.00044490, 0.04871058, 0.00000000, 0.00000000, 0.00000000, 0.07530861, -0.17114867, -0.87065513, 0.45496856
424169655.890472, -0.11813354, -0.33178711, -0.84494019, 0.00052597, 0.42604718, -0.19074119, -160.15353394, 143.04309082, 235.97845459, -0.01985984, -0.36604822, -0.93038392, -0.03510232, 0.00026454, 0.04209354, 0.00000000, 0.00000000, 0.00000000, 0.07725400, -0.16982299, -0.87090760, 0.45465584
