Trial07
Date:,2014/06/11
Time:,10:59:01
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE,,,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
11,393.082458,-12.312809,12.889682,-10.699640,-12.912741,16.173841,389.694641,566.037231,24.661932,-12.371054,564.494995,19.251228,137.252701,483.668762,33.807312,142.122162,640.941345,33.933796,230.835419,481.978912,34.721924,230.021561,642.313293,34.562336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,393.079407,-12.310880,12.878816,-10.701421,-12.926367,16.178692,389.689453,566.042847,24.657255,-12.369229,564.497253,19.248831,137.254715,483.662720,33.806530,142.120712,640.937256,33.938042,230.862320,481.976868,34.658268,230.014267,642.318787,34.560200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,393.075531,-12.303264,12.878069,-10.694667,-12.917443,16.176723,389.696594,566.058960,24.658031,-12.365288,564.504761,19.249281,137.263763,483.669067,33.800533,142.116791,640.939148,33.945343,230.822479,481.990692,34.713593,230.024353,642.312073,34.558586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,393.070221,-12.300797,12.877432,-10.694896,-12.907955,16.182636,389.690460,566.053345,24.656513,-12.361713,564.504700,19.256365,137.256775,483.677002,33.808353,142.123077,640.940247,33.939373,230.863037,481.971252,34.655605,230.022079,642.317261,34.552330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,393.085968,-12.309896,12.894328,-10.685747,-12.911273,16.170403,389.699921,566.053589,24.650772,-12.364677,564.500488,19.250864,137.247757,483.670074,33.803200,142.122208,640.934937,33.937084,230.815826,481.976044,34.712830,230.015839,642.311523,34.556683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,393.068176,-12.306780,12.865813,-10.693911,-12.908199,16.175936,389.698517,566.050049,24.665207,-12.365019,564.496216,19.257435,137.243088,483.667969,33.809296,142.121872,640.939514,33.935799,230.877121,481.974182,34.657562,230.018768,642.317627,34.566147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,393.075500,-12.302015,12.892676,-10.697292,-12.912700,16.178211,389.697327,566.040649,24.657724,-12.365488,564.483398,19.255409,137.263321,483.666687,33.818527,142.128418,640.935181,33.931007,230.836639,481.983795,34.720070,230.025223,642.319214,34.559181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,393.077362,-12.304432,12.880757,-10.696045,-12.912827,16.171417,389.694977,566.042053,24.656347,-12.359344,564.499084,19.253847,137.264221,483.664642,33.811028,142.128845,640.939026,33.933857,230.829941,481.985443,34.719845,230.029312,642.315796,34.553963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,393.080109,-12.305610,12.882349,-10.690058,-12.916572,16.185869,389.701202,566.035339,24.648642,-12.355896,564.500549,19.251816,137.263580,483.671417,33.806232,142.129517,640.938171,33.931515,230.799255,482.065094,34.637886,230.022247,642.318054,34.559628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,393.081482,-12.319738,12.878427,-10.693184,-12.925875,16.181030,389.708069,566.043152,24.654600,-12.355680,564.499268,19.255783,137.201248,483.650452,33.748398,142.138184,640.935425,33.936974,230.800354,482.072968,34.623020,230.018616,642.315552,34.560062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,393.082214,-12.314929,12.879966,-10.684354,-12.913240,16.176420,389.702271,566.046387,24.659960,-12.352965,564.497864,19.255207,137.194366,483.650635,33.750397,142.135956,640.932617,33.935574,230.843735,481.978973,34.713562,230.036423,642.321228,34.559856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,393.093933,-12.321780,12.895551,-10.678058,-12.906742,16.180723,389.711212,566.045166,24.660849,-12.347377,564.503418,19.261145,137.269989,483.667755,33.814724,142.132050,640.937927,33.936298,230.834763,481.977661,34.725929,230.035080,642.311951,34.564762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,393.080688,-12.310400,12.883265,-10.687543,-12.907733,16.178804,389.717529,566.047974,24.660404,-12.355213,564.499756,19.254902,137.274506,483.670929,33.825066,142.135544,640.934753,33.931183,230.889771,481.972870,34.667130,230.021347,642.312561,34.563610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,393.083923,-12.306126,12.889556,-10.694660,-12.902838,16.171329,389.710205,566.050171,24.660540,-12.348249,564.512756,19.264086,137.264725,483.674011,33.807034,142.122894,640.940247,33.934425,230.878494,481.980316,34.654808,230.022644,642.311157,34.565861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
