Trial07
Date:,2014/06/11
Time:,10:59:01
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE,,,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
524,393.064728,-12.306696,12.857955,-10.690701,-12.920185,16.189354,389.698822,566.017029,24.756063,-12.352872,564.497009,19.630060,133.834473,849.610657,504.237030,112.769600,956.092468,389.799927,43.188866,827.368042,498.673370,27.764080,935.328918,381.719299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,393.060364,-12.312230,12.857952,-10.688358,-12.896357,16.185057,389.665466,566.008972,24.794371,-12.346322,564.500610,19.624809,133.554794,850.076904,504.438721,112.483253,956.646667,390.197357,42.690868,828.484497,499.166656,27.446482,935.943054,381.969330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,393.080841,-12.306081,12.877766,-10.688157,-12.908545,16.185930,389.674408,566.005188,24.790068,-12.341765,564.493347,19.634371,133.441101,850.882080,504.737061,112.127350,957.330017,390.590668,42.643158,828.863953,499.685669,27.347166,936.381165,382.457886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,393.082489,-12.311385,12.881486,-10.691767,-12.918134,16.186737,389.678253,565.997986,24.794867,-12.343051,564.486633,19.631767,133.038803,851.323242,505.239105,111.988594,957.558533,390.959320,42.062649,829.443115,500.173065,26.903763,936.875366,383.038483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,393.084747,-12.319711,12.883327,-10.686515,-12.909288,16.193918,389.705811,566.016846,24.752819,-12.349093,564.501282,19.641430,132.540894,852.050781,505.724182,111.622292,958.043884,391.530640,41.552841,829.876221,500.784515,26.399525,937.544250,383.366486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,393.065460,-12.312057,12.859412,-10.696620,-12.922962,16.186590,389.704926,566.013916,24.758598,-12.350260,564.499756,19.633369,132.117279,852.885742,506.033478,111.089760,958.547424,391.837463,41.265465,830.274475,501.381073,26.014130,938.010742,383.713623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,393.062103,-12.299834,12.865570,-10.691663,-12.911089,16.195789,389.704376,566.020447,24.750805,-12.351730,564.488220,19.632750,131.802521,853.468872,506.111603,110.531631,958.978760,392.144379,40.931004,830.900635,501.780914,25.606474,938.512146,384.388733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,393.063873,-12.299832,12.869340,-10.694935,-12.906788,16.191347,389.685333,566.030701,24.754707,-12.349350,564.504089,19.646044,131.450882,853.587952,507.210754,110.259247,959.208374,392.799377,40.444054,831.565491,502.272217,25.086990,939.290283,384.779877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,393.067780,-12.312075,12.872744,-10.703856,-12.920072,16.190645,389.675537,566.034485,24.755877,-12.346794,564.505249,19.648949,131.078873,853.912842,507.276886,109.531281,959.897766,393.138000,39.896572,832.249756,502.550629,24.566969,939.792847,385.259674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,393.070923,-12.309652,12.872155,-10.691230,-12.904515,16.191681,389.679871,566.043213,24.746899,-12.345801,564.498474,19.636156,130.550247,854.346924,507.190704,109.005875,960.274414,393.208038,39.684517,832.451477,502.976593,23.991856,940.030518,385.848206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,393.071808,-12.305045,12.868984,-10.690608,-12.909801,16.183969,389.687225,566.033020,24.757025,-12.334656,564.502075,19.643570,130.286285,854.654968,507.171936,108.580658,960.286987,393.530029,39.337910,832.733826,503.441620,23.358700,940.569885,386.160553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,393.058228,-12.299062,12.855094,-10.689259,-12.917899,16.192257,389.693939,566.012024,24.751566,-12.338994,564.495422,19.635349,129.981277,854.785889,507.375946,108.161102,960.544495,393.802887,38.946758,833.177246,503.660522,23.002241,941.092529,386.368073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,393.064880,-12.307044,12.863223,-10.696082,-12.925359,16.193529,389.691437,566.005920,24.757263,-12.338214,564.490051,19.638138,129.319122,855.009460,508.415894,107.637985,961.046082,394.214996,38.377724,833.686951,503.791382,22.522205,941.127502,386.875671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,393.065247,-12.319354,12.859738,-10.693852,-12.919920,16.192741,389.696198,565.999634,24.754684,-12.336600,564.496155,19.639387,128.962891,855.429871,508.538422,106.987450,961.617188,394.167114,37.929176,833.881226,504.095062,22.000092,941.313721,387.260071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,393.063324,-12.318827,12.855160,-10.695773,-12.928289,16.183281,389.660004,565.997742,24.800543,-12.340596,564.482056,19.632484,128.719482,855.616394,508.662140,106.611008,961.669373,394.321320,37.807312,833.792358,504.314453,21.447140,941.666748,387.392792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,393.075897,-12.307581,12.875086,-10.681825,-12.912524,16.194605,389.655579,566.006836,24.796186,-12.342781,564.495178,19.635599,128.299606,855.835388,508.906555,106.318176,961.500793,394.602448,37.306988,834.081909,504.577271,21.127779,941.856018,387.466736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,393.073669,-12.313235,12.874305,-10.680037,-12.908151,16.192499,389.707886,566.024963,24.742182,-12.342159,564.498596,19.645103,128.119003,856.140808,508.592224,106.163551,961.621094,394.756744,36.938236,834.299500,504.812988,20.710869,942.101868,387.755188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,393.066437,-12.297717,12.860917,-10.683068,-12.915429,16.195465,389.710632,566.038269,24.743856,-12.337965,564.495667,19.633312,127.801773,856.309326,508.649323,105.655663,962.172546,395.055847,36.551315,834.647278,505.070313,20.541157,941.897644,387.960144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,393.071594,-12.308788,12.867023,-10.686292,-12.916507,16.186342,389.704071,566.024414,24.751980,-12.344861,564.494141,19.639965,127.099068,856.592590,509.664551,105.155113,962.403625,395.399780,36.198864,834.741211,505.357086,20.165236,941.830750,388.260223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,393.078674,-12.310119,12.882032,-10.687119,-12.917694,16.191662,389.708862,566.014893,24.760384,-12.351151,564.492737,19.629330,126.754158,856.813477,509.621063,104.964325,962.404480,395.595367,35.864311,834.791504,505.673645,19.827570,941.886536,388.512299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,393.063293,-12.309081,12.858943,-10.694790,-12.901371,16.183861,389.699432,566.009521,24.764814,-12.352607,564.492798,19.626753,126.500107,857.063293,509.797485,104.677048,962.439636,395.831665,35.661144,834.766052,505.925079,19.406685,942.173889,388.656281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,393.062592,-12.300208,12.856923,-10.699096,-12.922822,16.183495,389.695496,566.020691,24.757961,-12.357252,564.506714,19.634508,126.334427,857.073120,510.097382,104.428307,962.444275,396.024811,35.083145,834.999390,506.224335,18.966974,942.511108,388.742432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,393.064026,-12.302054,12.860964,-10.700747,-12.921713,16.182077,389.681458,566.016724,24.753229,-12.360149,564.491638,19.618771,126.098167,857.230530,510.305389,104.082817,962.338318,396.175079,34.733044,834.919250,506.582367,18.670609,942.327393,389.072174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,393.057343,-12.316541,12.856170,-10.697963,-12.909636,16.188612,389.679596,566.022217,24.746162,-12.367408,564.511292,19.626883,125.612968,856.860718,511.005005,103.890182,962.319336,396.305847,34.305729,834.954041,506.881470,18.518372,942.262573,389.329803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,393.063171,-12.307258,12.859236,-10.696398,-12.900542,16.178970,389.681427,566.025146,24.746412,-12.373895,564.509705,19.614168,124.906403,856.720093,511.395538,103.485977,962.265137,396.557159,34.024944,835.058899,507.076935,18.304113,942.378601,389.505920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,393.066650,-12.295532,12.868990,-10.695501,-12.914582,16.188002,389.688232,566.029907,24.747868,-12.377234,564.504517,19.613705,124.453705,856.923279,511.440430,103.009438,962.142761,396.950317,33.760117,835.101135,507.360474,17.920378,942.422363,389.831940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,393.068237,-12.295575,12.867836,-10.690766,-12.903226,16.189363,389.687134,566.019653,24.761023,-12.394693,564.499207,19.604380,124.136406,856.994080,511.625366,102.521149,962.373535,397.026367,33.361992,835.020447,507.661804,17.440714,942.346802,390.163391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,393.072845,-12.307597,12.872523,-10.687262,-12.906044,16.182360,389.659821,566.001099,24.805563,-12.410440,564.495422,19.590765,123.788246,856.821960,511.588409,101.950081,962.367371,397.258057,32.880867,834.944458,507.913391,16.798281,942.257324,390.248810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,393.064941,-12.308391,12.863956,-10.691142,-12.920518,16.191372,389.660645,565.999390,24.797369,-12.430397,564.488464,19.588772,123.256836,856.733459,512.460449,101.709373,962.315857,397.547272,32.345795,835.154785,507.917328,16.527302,942.113098,390.254761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,393.079193,-12.299353,12.872463,-10.687089,-12.921276,16.189894,389.705231,566.028503,24.748135,-12.454806,564.478821,19.589590,122.797073,856.621216,512.591003,101.403091,962.091858,397.804169,31.609882,834.784973,508.117828,16.109394,942.000000,390.432220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,393.070343,-12.298141,12.863288,-10.691894,-12.917847,16.184689,389.701080,566.024353,24.754780,-12.479376,564.467346,19.585375,122.381378,856.577332,512.751953,101.021500,961.923523,398.083527,31.050774,834.522766,508.313812,15.498670,941.941040,390.684113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,393.064484,-12.312862,12.859705,-10.695808,-12.918846,16.179352,389.708069,566.017761,24.749214,-12.506206,564.441223,19.591667,121.652016,856.331787,512.967041,100.342377,961.656860,398.577911,30.753658,834.583740,508.395050,15.237788,941.850098,390.788300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,393.076019,-12.308082,12.871123,-10.694326,-12.924767,16.183199,389.702850,566.011536,24.757719,-12.523136,564.429504,19.606750,120.851860,856.160522,513.302612,99.631157,961.828796,398.574341,30.356697,834.400146,508.617889,14.866129,941.685303,391.058594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,393.078979,-12.306574,12.869979,-10.689746,-12.907390,16.183239,389.704590,566.007996,24.758488,-12.551307,564.407837,19.618061,120.728989,856.410583,512.968323,99.327904,961.645264,398.724609,29.729986,834.143066,508.787842,14.199814,941.296509,391.312195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,393.066803,-12.300163,12.859148,-10.694636,-12.910303,16.185446,389.702728,566.018738,24.754398,-12.552333,564.393005,19.622898,120.054825,855.996033,513.752258,99.016121,961.475647,398.938538,28.996943,833.793396,508.862823,13.611122,941.114014,391.375366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,393.067261,-12.293005,12.863188,-10.692972,-12.917086,16.189884,389.693787,566.025879,24.751329,-12.567946,564.390137,19.632917,119.396561,855.293701,514.133423,98.515137,961.225830,399.074280,28.482677,833.700806,508.939758,13.127101,941.213013,391.357574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,393.076233,-12.302074,12.872583,-10.692178,-12.901355,16.180595,389.697815,566.034363,24.743837,-12.592705,564.363159,19.631887,118.798180,855.307800,514.201416,97.787766,960.842041,399.303619,27.976475,833.548767,508.960510,12.516598,941.123901,391.584778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,393.049744,-12.298424,12.849676,-10.690573,-12.897579,16.181601,389.689697,566.038208,24.750891,-12.595895,564.345947,19.653776,118.393677,855.600098,514.203247,97.193207,960.817200,399.535065,27.420738,832.879883,509.074921,12.183785,940.643311,391.655853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,393.063477,-12.303795,12.865326,-10.691590,-12.910160,16.185526,389.689453,566.035645,24.754320,-12.588337,564.318909,19.684820,117.676598,855.402039,514.250916,96.502487,960.792786,399.624268,26.921883,832.299316,509.279785,11.717116,940.007751,391.778687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,393.066010,-12.297354,12.872268,-10.696526,-12.916286,16.187407,389.670502,566.011414,24.762909,-12.592764,564.309570,19.710575,116.903023,854.717163,514.386169,95.838554,960.392395,399.913696,26.467392,832.252747,509.075470,10.931310,939.845581,391.786224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,393.080048,-12.305976,12.876040,-10.702317,-12.917162,16.186430,389.658478,565.997498,24.802462,-12.587777,564.296265,19.720909,116.648605,854.450439,514.193481,95.367287,959.980164,400.086212,25.631983,831.908264,508.943634,10.244376,939.949585,391.730011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,393.077087,-12.310979,12.866403,-10.697998,-12.923453,16.182039,389.692535,566.016174,24.755863,-12.579443,564.302307,19.715034,115.955551,854.453613,514.252441,94.403419,959.962830,400.037476,24.886980,831.360535,509.102112,9.299191,939.285767,392.147034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,393.078125,-12.308572,12.875638,-10.689461,-12.922024,16.179583,389.694214,566.017944,24.751160,-12.576441,564.304565,19.715338,115.051102,854.046570,514.462769,93.448273,960.155762,400.087189,24.467690,831.421387,508.924530,8.777809,939.186707,392.552917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,393.067780,-12.307379,12.865232,-10.686163,-12.912801,16.183737,389.668640,566.001282,24.792637,-12.601502,564.360962,19.646538,114.260910,853.689575,514.708008,92.669022,959.589111,400.459503,23.889151,830.807922,509.012878,7.678053,939.055847,392.493988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,393.080933,-12.310485,12.877163,-10.694058,-12.923676,16.187090,389.706940,566.023743,24.744022,-12.689733,564.349548,19.583035,114.096626,853.772888,513.753357,91.767677,959.535095,400.516876,23.372583,829.995300,509.111633,6.807503,938.675171,392.544525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,393.075653,-12.302237,12.869250,-10.692380,-12.916401,16.183495,389.670441,566.009827,24.789391,-12.946176,564.342590,19.453285,113.364357,853.209290,514.391235,91.032173,959.620667,400.533600,22.777884,830.124268,508.849121,6.104759,938.378784,392.868805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,393.070618,-12.305634,12.863231,-10.687714,-12.903231,16.181957,389.663269,566.001160,24.798029,-13.359691,564.294800,19.274977,112.577194,852.795471,514.491455,90.132233,959.129517,400.638062,22.197304,829.810364,508.987762,5.394099,938.190186,392.883301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,393.079376,-12.314157,12.877399,-10.686072,-12.903851,16.189539,389.694672,566.019470,24.759327,-13.008147,564.437683,19.316242,111.754272,852.944153,514.488342,89.338211,958.827332,400.600220,21.461615,829.077209,509.018250,4.473651,937.701660,392.866211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,393.067474,-12.304236,12.863882,-10.694781,-12.908912,16.181614,389.705627,566.027527,24.750278,-12.370145,564.684692,19.387362,111.180145,852.932678,514.499146,88.631073,958.284424,400.610626,20.791517,828.981079,508.939178,3.555680,937.381653,392.668976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,393.065369,-12.303577,12.865839,-10.695335,-12.915087,16.185106,389.689392,566.022888,24.755880,-12.336315,564.700195,19.392204,110.559380,852.023315,514.598633,87.229958,958.251953,400.428619,20.144852,828.523071,509.123993,2.757746,936.412170,392.875732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,393.066956,-12.306158,12.863147,-10.699216,-12.915522,16.192575,389.694092,566.030762,24.748875,-12.363641,564.696411,19.388968,109.721222,851.840027,514.545532,86.535034,958.057129,400.335541,19.536362,827.884094,509.309662,2.027904,936.108215,392.742188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,393.071533,-12.301211,12.866206,-10.694668,-12.920160,16.192202,389.683563,566.031189,24.753952,-12.364086,564.698669,19.396193,108.996307,852.202148,514.531311,85.905701,957.154785,400.378387,18.816496,827.506531,509.473724,1.406542,935.023682,392.934845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
