Timestamp, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagnetometerX, MagnetometerY, MagnetometerZ, DMUserAccelerationX, DMUserAccelerationY, DMUserAccelerationZ, DMGravityX, DMGravityY, DMGravityZ, DMMagX, DMMagY, DMMagZ, DMAttitudeX, DMAttitudeY, DMAttitudeZ, DMAttitudeW 
424169899.395427, 0.06480408, -0.45185852, -0.74385071, 0.10112396, 0.17312198, 0.15059430, -160.66683960, 145.26745605, 234.81353760, 0.03087577, -0.39671883, -0.91742074, -0.01248893, -0.02802483, 0.12286510, 0.00000000, 0.00000000, 0.00000000, 0.19517470, -0.05653718, -0.34458462, 0.91649977
424169899.410891, 0.10737610, -0.45249939, -0.82177734, 0.00534124, 0.22163040, 0.17135444, -159.46911621, 146.80738831, 236.31129456, 0.03138141, -0.39884055, -0.91648316, -0.00269488, -0.03710306, 0.18046023, 0.00000000, 0.00000000, 0.00000000, 0.19641555, -0.05638564, -0.34307674, 0.91680966
424169899.428392, 0.10737610, -0.45249939, -0.82177734, -0.05638684, 0.19650906, 0.20753508, -161.00904846, 146.29408264, 236.47770691, 0.03321178, -0.39918163, -0.91627014, 0.06330006, -0.05467580, 0.13050357, 0.00000000, 0.00000000, 0.00000000, 0.19701387, -0.05523092, -0.34145953, 0.91735515
424169899.445226, 0.09326172, -0.45672607, -0.91337585, -0.05429679, 0.11379155, 0.23527297, -161.86457825, 144.75413513, 235.31278992, 0.03479277, -0.39858371, -0.91647178, 0.07252229, -0.05762355, 0.04348592, 0.00000000, 0.00000000, 0.00000000, 0.19710812, -0.05396770, -0.33962865, 0.91808946
424169899.458848, 0.08923340, -0.44511414, -0.91998291, -0.00873703, 0.02495329, 0.25521499, -159.98242188, 146.63629150, 236.81053162, 0.03742220, -0.39959809, -0.91592628, 0.05583952, -0.05712799, 0.00255043, 0.00000000, 0.00000000, 0.00000000, 0.19819155, -0.05250687, -0.33777985, 0.91862284
424169899.474927, 0.04545593, -0.44992065, -0.88880920, 0.00240723, -0.01843493, 0.23249343, -161.35125732, 146.29408264, 234.81353760, 0.03631500, -0.39923373, -0.91612971, 0.05291840, -0.04588040, -0.00385320, 0.00000000, 0.00000000, 0.00000000, 0.19792584, -0.05254053, -0.33579981, 0.91940380
424169899.490352, 0.03976440, -0.44903564, -0.89651489, 0.02243474, -0.02339081, 0.20352250, -157.92918396, 145.60966492, 235.81204224, 0.03446310, -0.39921948, -0.91620743, 0.03285868, -0.04793933, 0.01528277, 0.00000000, 0.00000000, 0.00000000, 0.19769687, -0.05303039, -0.33396778, 0.92009198
424169899.506801, 0.03228760, -0.45634460, -0.85832214, 0.05935307, -0.00155981, 0.17983075, -159.29800415, 146.29408264, 237.14337158, 0.03299391, -0.40146783, -0.91527861, 0.00371874, -0.04259346, 0.02257845, 0.00000000, 0.00000000, 0.00000000, 0.19866197, -0.05379685, -0.33229330, 0.92044581
424169899.522134, 0.03228760, -0.45634460, -0.85832214, 0.06720620, 0.04622475, 0.17489085, -159.29800415, 146.29408264, 237.14337158, 0.03144257, -0.40206748, -0.91507000, 0.00757415, -0.05311744, 0.03674358, 0.00000000, 0.00000000, 0.00000000, 0.19877668, -0.05434000, -0.33084180, 0.92091188
424169899.538422, 0.01600647, -0.46351624, -0.80685425, 0.02961994, 0.11387251, 0.13256470, -159.29800415, 145.95187378, 235.81204224, 0.03061801, -0.40567178, -0.91350585, 0.00166958, -0.05067283, 0.05518371, 0.00000000, 0.00000000, 0.00000000, 0.20053722, -0.05506267, -0.32924102, 0.92106095
424169899.554182, 0.05001831, -0.46519470, -0.81803894, -0.05181606, 0.23666660, 0.09768448, -159.12690735, 146.12297058, 236.97695923, 0.03077540, -0.40626189, -0.91323829, -0.01476893, -0.05725435, 0.10638403, 0.00000000, 0.00000000, 0.00000000, 0.20094093, -0.05480512, -0.32790116, 0.92146621
424169899.569272, 0.05065918, -0.45437622, -0.90336609, -0.11658813, 0.22991229, 0.08060137, -160.15353394, 146.12297058, 235.97845459, 0.03276735, -0.40584809, -0.91335297, -0.00188356, -0.06340545, 0.11660003, 0.00000000, 0.00000000, 0.00000000, 0.20114632, -0.05351336, -0.32672006, 0.92191674
424169899.585733, 0.05065918, -0.45437622, -0.90336609, -0.12268464, 0.21111091, 0.05461877, -159.81132507, 145.43855286, 237.64262390, 0.03619921, -0.40773442, -0.91238272, 0.01485670, -0.05538508, 0.05389274, 0.00000000, 0.00000000, 0.00000000, 0.20275430, -0.05195506, -0.32554555, 0.92206912
