Trial09
Date:,2014/06/11
Time:,11:03:21
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE,,,*1,,,*2,,,*3,,,*4,,,*5
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
23,393.092499,-12.076789,14.532434,-10.603568,-13.085892,15.670627,389.832581,566.467468,24.315241,-12.442772,564.511292,19.233049,,,,125.209854,651.753235,32.612064,232.690918,504.705566,34.711048,212.300797,663.751038,33.643093,,,,,,,,,,,,,,,
24,393.150024,-11.995043,14.506818,-10.612347,-13.088916,15.682302,389.830658,566.457520,24.312809,-12.446985,564.503601,19.226862,,,,125.211983,651.751465,32.611778,232.715759,504.705322,34.717388,212.290039,663.750244,33.637028,,,,,,,,,,,,,,,
25,393.081635,-12.083148,14.533597,-10.612679,-13.084409,15.684523,389.820343,566.471313,24.305468,-12.440546,564.527710,19.225857,,,,125.206261,651.751587,32.614834,232.749237,504.710938,34.736225,212.301453,663.745789,33.642006,,,,,,,,,,,,,,,
26,393.171875,-12.003468,14.514152,-10.621612,-13.090079,15.683268,389.816833,566.471863,24.303684,-12.436295,564.517517,19.228613,,,,125.202103,651.751160,32.614536,232.674286,504.648804,34.756741,212.296219,663.750793,33.631588,,,,,,,,,,,,,,,
27,393.211823,-11.987720,14.449345,-10.603119,-13.080215,15.674349,389.828033,566.459717,24.309910,-12.438082,564.520264,19.220018,,,,125.202164,651.756165,32.610874,232.312317,504.515900,34.750469,212.301605,663.749023,33.632824,,,,,,,,,,,,,,,
28,393.154602,-11.987232,14.503112,-10.608030,-13.093033,15.676553,389.825012,566.475281,24.295832,-12.442264,564.507690,19.222326,,,,125.200851,651.762756,32.605293,232.804016,504.788910,34.661655,212.305511,663.753113,33.632271,,,,,,,,,,,,,,,
29,393.081512,-12.080852,14.538198,-10.605793,-13.088660,15.678528,389.839752,566.457947,24.314350,-12.443584,564.515686,19.225153,,,,125.203606,651.760559,32.603867,232.826782,504.795868,34.663471,212.301254,663.749268,33.637112,,,,,,,,,,,,,,,
30,393.079407,-12.079872,14.532530,-10.605842,-13.073336,15.677617,389.831757,566.474609,24.308931,-12.432448,564.517334,19.224640,,,,125.210724,651.752747,32.608002,232.825516,504.793854,34.662018,212.295609,663.754517,33.632576,,,,,,,,,,,,,,,
31,393.150787,-11.997450,14.510228,-10.604944,-13.085437,15.677938,389.830048,566.483521,24.310143,-12.441379,564.515137,19.229658,,,,125.205498,651.755371,32.608242,232.816711,504.800873,34.667583,212.297729,663.755615,33.638683,,,,,,,,,,,,,,,
32,393.078979,-12.064561,14.526069,-10.601448,-13.093762,15.678453,389.823303,566.476624,24.300243,-12.429359,564.535278,19.232307,,,,125.198456,651.754822,32.603039,232.822342,504.791321,34.668385,212.299408,663.754700,33.636402,,,,,,,,,,,,,,,
33,393.078247,-12.081176,14.529737,-10.592838,-13.081332,15.674990,389.842102,566.491333,24.321091,-12.434977,564.514771,19.227257,,,,125.178665,651.758728,32.597214,232.834671,504.775238,34.665756,212.298416,663.746643,33.638676,,,,,,,,,,,,,,,
34,393.111420,-12.070603,14.462874,-10.600506,-13.097055,15.683671,389.834381,566.487061,24.304897,-12.434739,564.527161,19.229881,,,,125.160156,651.755798,32.588207,232.828873,504.789001,34.667854,212.296844,663.754456,33.635181,,,,,,,,,,,,,,,
35,393.111542,-12.065296,14.458556,-10.601821,-13.087862,15.681567,389.835571,566.477295,24.313723,-12.439653,564.512085,19.222103,,,,125.165871,651.764160,32.581200,232.814636,504.790131,34.663723,212.292236,663.751160,33.633282,,,,,,,,,,,,,,,
36,393.179413,-12.005190,14.506805,-10.603240,-13.081320,15.685004,389.841034,566.477905,24.322432,-12.434756,564.518066,19.232178,,,,125.158432,651.760254,32.580837,232.833450,504.787750,34.664730,212.298279,663.759827,33.642269,,,,,,,,,,,,,,,
37,393.187561,-12.013804,14.516988,-10.598613,-13.095039,15.684404,389.828400,566.472961,24.310581,-12.445004,564.513367,19.231525,,,,125.136909,651.731079,32.603382,232.835770,504.801483,34.656994,212.300278,663.748779,33.640617,,,,,,,,,,,,,,,
38,393.083466,-12.075093,14.527114,-10.592442,-13.082836,15.682652,389.829376,566.461975,24.312555,-12.441379,564.518433,19.226387,,,,125.130844,651.688293,32.648170,232.831650,504.793457,34.666016,212.294601,663.752808,33.640022,,,,,,,,,,,,,,,
39,393.149506,-11.986814,14.509408,-10.606709,-13.093647,15.678116,389.830322,566.474243,24.305407,-12.447705,564.511597,19.220316,,,,124.930611,651.604614,32.651451,232.822800,504.796478,34.662914,212.295410,663.748901,33.638290,,,,,,,,,,,,,,,
40,393.145691,-11.990280,14.513561,-10.600579,-13.093060,15.677061,389.819305,566.464783,24.299936,-12.439574,564.520813,19.228468,,,,124.695984,651.519165,32.643421,232.829941,504.789368,34.673141,212.301346,663.746094,33.638611,,,,,,,,,,,,,,,
41,393.137390,-12.084104,14.470282,-10.606353,-13.085510,15.681387,389.828308,566.460938,24.305895,-12.444880,564.514221,19.228251,,,,125.495193,651.762817,32.711357,232.835464,504.796875,34.655201,212.303818,663.748657,33.633251,,,,,,,,,,,,,,,
42,393.126984,-12.005784,14.514367,-10.601732,-13.091464,15.676520,389.827881,566.466919,24.308226,-12.444978,564.514648,19.229746,,,,125.515640,651.771545,32.715153,232.827591,504.796082,34.655743,212.297821,663.748230,33.634983,,,,,,,,,,,,,,,
43,393.131531,-12.028224,14.539836,-10.608588,-13.098532,15.681190,389.831787,566.466125,24.317083,-12.445727,564.519958,19.228998,,,,125.510452,651.762207,32.719578,232.830215,504.807770,34.671719,212.295441,663.751099,33.629971,,,,,,,,,,,,,,,
44,393.169342,-12.001952,14.539877,-10.600717,-13.095694,15.690580,389.832245,566.473022,24.310884,-12.448764,564.502686,19.222895,,,,125.504562,651.764038,32.717644,232.826660,504.810364,34.664783,212.293121,663.755127,33.634266,,,,,,,,,,,,,,,
45,393.222839,-12.055904,14.481640,-10.606298,-13.091639,15.685710,389.829559,566.470215,24.305607,-12.447228,564.519897,19.227203,,,,125.513962,651.766052,32.716938,232.836060,504.804810,34.665878,212.299515,663.757019,33.635296,,,,,,,,,,,,,,,
46,393.289581,-11.942169,14.437678,-10.601582,-13.087909,15.685390,389.830597,566.490173,24.305195,-12.441618,564.536743,19.228640,,,,125.517258,651.772156,32.717506,232.836563,504.801819,34.663429,212.298050,663.752197,33.627773,,,,,,,,,,,,,,,
47,393.257233,-12.025192,14.460729,-10.579950,-13.078275,15.690720,389.842743,566.487488,24.314093,-12.439133,564.525513,19.230066,,,,125.517204,651.765686,32.714954,232.833374,504.795074,34.671501,212.302383,663.753113,33.632252,,,,,,,,,,,,,,,
48,393.272308,-11.967977,14.436184,-10.594917,-13.084873,15.683166,389.840515,566.486572,24.309191,-12.440113,564.521606,19.232605,,,,125.520775,651.768127,32.714825,232.821564,504.788086,34.661003,212.300705,663.752075,33.634022,,,,,,,,,,,,,,,
49,393.079987,-12.161982,14.583797,-10.596657,-13.089972,15.685684,389.839600,566.471191,24.315117,-12.430416,564.521790,19.224516,,,,125.520920,651.765625,32.714859,232.833435,504.785370,34.658981,212.299408,663.751587,33.630955,,,,,,,,,,,,,,,
50,393.158539,-12.096231,14.619526,-10.601616,-13.089417,15.681063,389.835114,566.473755,24.311235,-12.443952,564.521851,19.232786,,,,125.517700,651.760620,32.717491,232.854446,504.791687,34.663303,212.298996,663.757813,33.638714,,,,,,,,,,,,,,,
51,393.204010,-12.056935,14.538921,-10.608698,-13.086300,15.681778,389.836761,566.466370,24.317389,-12.441777,564.524170,19.228470,,,,125.515053,651.766846,32.713799,232.827271,504.787598,34.659912,212.294327,663.750977,33.637512,,,,,,,,,,,,,,,
52,393.209808,-12.057983,14.532397,-10.609224,-13.094441,15.684247,389.826538,566.472107,24.302073,-12.448923,564.506287,19.218920,,,,125.516411,651.769104,32.712345,232.827286,504.798889,34.657631,212.298584,663.749634,33.626823,,,,,,,,,,,,,,,
53,393.162262,-12.082759,14.611712,-10.600110,-13.099180,15.683700,389.822632,566.465759,24.300508,-12.446042,564.515991,19.229115,,,,125.385300,652.036804,32.813847,232.820328,504.802551,34.648605,212.292572,663.751831,33.633713,,,,,,,,,,,,,,,
54,393.168488,-12.083903,14.629549,-10.604694,-13.097797,15.682735,389.836731,566.479248,24.307314,-12.446655,564.518127,19.218304,,,,125.383224,652.045227,32.813599,232.816940,504.787872,34.651302,212.296188,663.750793,33.627983,,,,,,,,,,,,,,,
55,393.207458,-12.057755,14.545304,-10.609149,-13.089307,15.683897,389.825378,566.468201,24.306702,-12.443976,564.519043,19.223150,,,,125.506874,651.769409,32.708618,232.831329,504.793396,34.660858,212.301178,663.744324,33.628803,,,,,,,,,,,,,,,
56,393.212708,-12.054568,14.537520,-10.597588,-13.093647,15.689287,389.834229,566.471069,24.310812,-12.441641,564.527710,19.232470,,,,125.518883,651.762451,32.713928,232.822342,504.800934,34.657379,212.297852,663.753418,33.634579,,,,,,,,,,,,,,,
57,393.202698,-12.059077,14.535331,-10.599773,-13.078413,15.689437,389.833069,566.476746,24.308994,-12.440852,564.521606,19.227808,,,,125.514961,651.765625,32.716782,232.823227,504.796753,34.661865,212.298782,663.749084,33.630466,,,,,,,,,,,,,,,
58,393.243591,-12.063766,14.525783,-10.600445,-13.080996,15.682954,389.840424,566.472778,24.315773,-12.436463,564.516968,19.227467,,,,125.510246,651.766418,32.706291,232.840302,504.813843,34.656479,212.298691,663.749146,33.634163,,,,,,,,,,,,,,,
59,393.248230,-12.057849,14.520442,-10.596285,-13.091961,15.686244,389.836121,566.482483,24.310825,-12.439837,564.520752,19.223440,,,,125.515327,651.771118,32.710754,232.824753,504.796814,34.655910,212.300766,663.753357,33.633404,,,,,,,,,,,,,,,
60,393.249146,-12.065727,14.525098,-10.596348,-13.095898,15.683824,389.834900,566.481689,24.306444,-12.437453,564.521790,19.227839,,,,125.520714,651.773682,32.706554,232.832138,504.795532,34.661655,212.299454,663.747375,33.622444,,,,,,,,,,,,,,,
