Trial02
Date:,2014/06/11
Time:,10:41:34
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE,,,*1,,,*2,,,*3,,,*4,,,*5,,,*6,,,*7,,,*8,,,*9,,,*10,,,*11,,,*12,,,*13,,,*14,,,*15,,,*16,,,*17,,,*18,,,*19,,,*20,,,*21,,,*22,,,*23,,,*24,,,*25,,,*26,,,*27,,,*28,,,*29,,,*30,,,*31,,,*32,,,*33,,,*34,,,*35,,,*36,,,*37,,,*38,,,*39,,,*40,,,*41,,,*42,,,*43,,,*44,,,*45,,,*46,,,*47,,,*48,,,*49,,,*50,,,*51,,,*52,,,*53,,,*54,,,*55,,,*56,,,*57,,,*58,,,*59,,,*60,,,*61,,,*62,,,*63,,,*64,,,*65,,,*66,,,*67,,,*68,,,*69
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
370,392.791656,-5.973346,16.483864,-10.938314,-1.322014,16.054489,396.181824,572.571228,24.422503,-5.334689,576.387817,20.587772,56.417858,100.852585,394.295776,-95.582474,130.415207,365.950806,79.506393,158.261688,324.985931,-76.094772,185.226578,299.865326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,392.794281,-5.971666,16.488663,-10.939381,-1.316259,16.069525,396.182587,572.568726,24.409817,-5.336802,576.389832,20.594469,53.151253,101.723236,397.849579,-98.503258,130.653702,366.819244,77.197830,156.372391,325.862732,-78.243210,184.623734,300.190430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,392.792114,-5.974148,16.480032,-10.881531,-1.421306,15.983767,396.217438,572.480835,24.410219,-5.347500,576.385132,20.582155,49.574532,102.173988,400.532532,-101.447327,131.341171,368.419037,74.382721,153.966629,327.001740,-80.812798,183.843643,300.415192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,392.795563,-5.974524,16.480366,-10.880728,-1.424168,15.989373,396.181671,572.579102,24.420847,-5.335416,576.384521,20.585367,46.197311,102.874123,403.206635,-104.635612,132.338562,369.286896,71.573090,152.689026,328.927216,-83.225929,183.233383,301.033508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,392.791748,-5.976960,16.486542,-10.887972,-1.426784,15.998732,396.229462,572.515747,24.458351,-5.325682,576.335938,20.580090,42.521099,102.607803,405.916748,-107.875847,133.057404,370.459351,68.800385,151.326263,330.975006,-85.413101,182.693726,301.614777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,392.795197,-5.975766,16.482939,-10.880658,-1.428607,15.983568,396.227966,572.510254,24.457001,-5.322179,576.338013,20.583948,38.728943,102.736458,408.589325,-111.086014,133.744019,371.622162,66.246346,149.948257,332.962006,-87.587029,182.072586,301.786072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,392.797302,-5.977976,16.484575,-10.876223,-1.432751,15.994065,396.231323,572.509338,24.453398,-5.317624,576.350586,20.591902,34.783813,100.618248,410.151428,-114.231133,135.435333,372.458740,63.392269,148.075333,334.975372,-89.441704,181.949692,302.005280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,392.797668,-5.961585,16.473577,-10.931347,-1.321261,16.061403,396.234100,572.514343,24.456545,-5.313651,576.354309,20.589666,30.741179,101.059769,412.525757,-117.183868,137.152542,372.795898,61.002934,146.089050,336.759338,-91.001915,181.459824,301.606232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,392.793518,-5.965786,16.478260,-10.880913,-1.416987,15.989809,396.230499,572.510437,24.455290,-5.314492,576.357117,20.598232,27.202269,100.891396,414.724518,-120.095078,138.347351,372.779175,58.671101,144.355560,338.230835,-92.674408,181.171249,301.075165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,392.798065,-5.973051,16.487959,-10.883685,-1.431219,15.995074,396.229584,572.517639,24.456024,-5.327353,576.349365,20.594551,23.435146,102.074921,417.058441,-122.678810,140.510239,372.863220,56.282810,142.577866,339.545715,-94.117310,180.590057,300.109833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,392.795135,-5.979846,16.483065,-10.884075,-1.414157,15.993039,396.234406,572.509521,24.452120,-5.342095,576.374146,20.575865,20.126339,102.857529,418.864258,-125.198265,142.562805,372.692230,54.031971,140.706665,340.539948,-95.515594,179.848862,299.014282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,392.798828,-5.968929,16.485945,-10.880756,-1.423866,15.993512,396.233459,572.515198,24.450233,-5.346826,576.382507,20.584614,16.782398,104.535141,420.787811,-127.517242,144.627838,372.525757,51.889122,138.698639,341.166473,-97.050179,179.249786,297.853699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,392.770569,-6.055862,16.488749,-10.884969,-1.421124,15.994018,396.228973,572.516235,24.453243,-5.343543,576.388184,20.590662,13.645553,105.503410,422.067780,-129.873215,146.126358,372.550293,49.541821,137.659348,342.057678,-98.631584,178.366119,296.806732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,392.774170,-5.913858,16.471922,-10.883360,-1.417244,15.998071,396.233765,572.511292,24.451284,-5.337183,576.376526,20.583452,10.741932,105.921082,423.310974,-132.382599,147.258560,372.578430,47.090977,136.215820,342.619171,-100.532486,177.633942,296.287140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,392.778625,-5.911718,16.480179,-10.880624,-1.420706,15.990458,396.230347,572.507935,24.452450,-5.336455,576.382019,20.586123,7.907072,107.658722,425.035645,-134.858429,147.386414,372.430511,44.516972,134.769501,343.116394,-102.810936,175.735138,295.807312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,392.778412,-5.906271,16.469374,-10.872687,-1.422509,15.992434,396.232727,572.511475,24.450785,-5.334127,576.371399,20.576660,5.119578,107.478416,425.874786,-137.559494,148.243088,373.356873,41.822769,133.136337,343.893585,-105.228004,174.193817,295.604156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,392.777496,-5.915822,16.485470,-10.882524,-1.425825,15.984391,396.234314,572.511719,24.450888,-5.338545,576.374878,20.579002,2.298527,107.922615,427.257477,-140.187851,148.031067,373.863647,38.699497,131.812943,344.695282,-108.006104,172.126923,295.606628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,392.773804,-5.909187,16.486025,-10.881934,-1.416653,15.988645,396.230865,572.514343,24.450871,-5.333179,576.373535,20.575329,-0.737956,108.684929,428.871765,-143.254501,147.562561,374.646271,35.864357,130.883377,345.503357,-110.948990,170.794754,296.229340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,392.772614,-5.908948,16.473637,-10.877735,-1.417661,15.990486,396.352478,572.278198,24.337601,-5.340567,576.385132,20.589500,-3.454000,108.589851,429.727356,-145.895355,147.058456,374.903046,33.288506,129.538452,346.530426,-113.633820,169.677460,296.434204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,392.761871,-5.911771,16.478075,-10.884074,-1.429617,15.995607,396.351471,572.322571,24.387697,-5.355097,576.389648,20.596369,-6.491210,109.542000,431.341858,-148.712708,147.827332,375.664307,30.529045,128.381607,347.369415,-116.120590,168.494354,296.767456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,392.777527,-5.914325,16.481537,-10.880234,-1.425673,15.996540,396.288177,572.415649,24.409983,-5.346124,576.386719,20.590160,-9.688911,109.576530,431.822235,-151.316910,148.319626,375.895630,27.628969,127.396904,348.338745,-118.519569,166.693848,296.464966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,392.778534,-5.911660,16.472603,-10.894081,-1.421576,16.002451,396.261322,572.434204,24.403986,-5.352735,576.377686,20.580721,-12.603424,110.616188,433.358307,-153.721664,149.163116,375.547302,24.772293,126.229172,349.156189,-120.674377,165.447144,295.788940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,392.772583,-5.904670,16.472792,-10.878635,-1.408444,15.992859,396.247681,572.426270,24.382477,-5.338200,576.388611,20.586168,-15.430332,111.279175,434.169281,-156.079727,149.837250,375.055054,22.669991,124.623070,349.778564,-122.313354,164.511551,295.136444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,392.773346,-5.908649,16.470345,-10.884088,-1.425011,15.989521,396.250641,572.433655,24.391577,-5.335981,576.390808,20.592018,-18.400118,112.921844,435.293610,-158.106003,151.517426,374.308411,20.098431,123.732674,350.681519,-123.826759,163.500702,294.281006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,392.771912,-5.910325,16.472282,-10.875865,-1.417045,15.991250,396.258240,572.441406,24.416563,-5.339431,576.376648,20.582357,-20.779926,113.890724,435.788788,-160.010498,152.610748,373.516022,18.137529,121.178070,350.785980,-125.298950,162.429688,293.469238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,392.775665,-5.911164,16.477097,-10.882073,-1.430233,15.979860,396.263062,572.453796,24.425484,-5.344088,576.383545,20.579184,-23.285131,115.113976,436.617920,-161.768509,153.927734,372.656403,15.745699,120.014282,351.591888,-126.626289,161.298523,292.598175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,392.780365,-5.905243,16.455175,-10.886977,-1.440062,15.990161,396.264893,572.449890,24.433626,-5.342297,576.384216,20.589312,-25.634272,116.584793,437.021759,-163.561874,155.009323,371.757050,13.751553,118.579887,351.990936,-128.247147,159.733688,291.428253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,392.779358,-5.908881,16.472912,-10.878320,-1.433027,15.999822,396.265656,572.455994,24.434229,-5.345734,576.382874,20.579172,-27.783358,117.327568,437.151825,-165.240814,156.343063,370.985382,11.463326,116.983444,352.443024,-130.049088,157.794785,290.721985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,392.770569,-5.914525,16.477520,-10.880149,-1.431939,15.992171,396.267975,572.461853,24.438059,-5.337633,576.379272,20.577332,-29.865326,118.413689,437.241547,-166.797577,157.498978,370.759949,9.206123,114.658485,352.435150,-132.115021,156.332687,290.315399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,392.777740,-5.908276,16.468941,-10.875780,-1.430691,15.993838,396.268616,572.461304,24.434132,-5.334018,576.362854,20.572073,-31.934757,120.016403,437.657715,-168.658691,159.050919,370.732941,6.622426,112.905060,352.993530,-134.118881,154.734116,290.187317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,392.772644,-5.912543,16.475843,-10.883440,-1.430373,15.992634,396.260468,572.467346,24.436995,-5.333388,576.385315,20.590736,-33.989864,121.447762,438.162933,-170.572891,159.816177,370.495178,4.139797,111.462997,353.283295,-136.713745,152.521927,289.966492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,392.774048,-5.911274,16.474804,-10.878819,-1.424784,15.992874,396.266174,572.459961,24.432772,-5.345373,576.376282,20.575468,-36.140781,122.543976,438.720978,-172.717529,160.901306,370.412689,1.359138,110.119881,353.685303,-139.118835,150.881622,289.698730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,392.780212,-5.895857,16.461800,-10.938018,-1.313546,16.069408,396.266113,572.458191,24.432653,-5.335933,576.382446,20.585075,-38.340607,123.075569,438.830170,-174.991684,161.354706,370.149628,-1.228157,109.038673,354.189758,-141.450348,149.733063,289.517883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,392.772186,-5.890105,16.489763,-10.878670,-1.426125,16.000399,396.263397,572.458862,24.430077,-5.340594,576.378479,20.578547,-41.175247,123.991264,439.164856,-177.210037,161.346344,369.350586,-3.550690,107.684364,354.837402,-143.400665,148.850525,289.266418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,392.771301,-5.908414,16.471386,-10.880960,-1.447307,15.989287,396.264282,572.452637,24.430101,-5.353590,576.377563,20.582127,-43.685696,125.144569,439.330444,-179.115829,161.992935,368.305084,-6.153529,106.550507,355.764709,-145.369644,147.406555,288.766266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,392.767792,-5.948756,16.501451,-10.885127,-1.427670,15.991239,396.266205,572.457397,24.433872,-5.343571,576.376221,20.576853,-46.382019,126.224205,439.675415,-181.119629,162.667847,367.381561,-8.448689,105.478790,356.281586,-147.203171,145.188583,288.040619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,392.824829,-5.878552,16.553951,-10.936525,-1.321902,16.071077,396.261017,572.459778,24.434656,-5.343805,576.379883,20.573004,-48.761860,127.064896,439.560120,-182.988998,162.877457,365.668488,-10.865945,103.661163,356.946289,-149.081131,144.035416,287.429718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,392.828430,-5.855698,16.548223,-10.883016,-1.422925,15.989803,396.268982,572.445740,24.428247,-5.336088,576.366943,20.571373,-50.877518,128.453064,439.152222,-184.491013,163.650589,364.170105,-13.167586,102.574356,357.511292,-150.597488,142.417389,286.160889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
