Timestamp, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagnetometerX, MagnetometerY, MagnetometerZ, DMUserAccelerationX, DMUserAccelerationY, DMUserAccelerationZ, DMGravityX, DMGravityY, DMGravityZ, DMMagX, DMMagY, DMMagZ, DMAttitudeX, DMAttitudeY, DMAttitudeZ, DMAttitudeW 
424168338.329165, -0.15527344, -0.86853027, -0.49247742, -0.01782267, -0.08877434, -0.02610963, -169.39315796, 168.70872498, 221.33381653, -0.14518550, -0.85504341, -0.49781716, -0.01008794, -0.01348685, 0.00533974, 0.00000000, 0.00000000, 0.00000000, -0.09629985, 0.49174969, 0.80943824, -0.30613447
424168338.345745, -0.13807678, -0.86303711, -0.48977661, -0.02224592, -0.06763790, -0.00950882, -169.39315796, 169.39314270, 221.00097656, -0.14563699, -0.85517389, -0.49746108, 0.00756021, -0.00786324, 0.00768446, 0.00000000, 0.00000000, 0.00000000, -0.09582894, 0.49202264, 0.80950677, -0.30566210
424168338.364460, -0.15052795, -0.86257935, -0.48146057, -0.00610636, -0.01758459, -0.01781575, -168.70874023, 169.05093384, 220.33531189, -0.14650121, -0.85528934, -0.49700862, -0.00402674, -0.00729003, 0.01554807, 0.00000000, 0.00000000, 0.00000000, -0.09525132, 0.49236457, 0.80947656, -0.30537193
424168338.376552, -0.15673828, -0.86018372, -0.49313354, -0.01328438, -0.02334021, -0.01100338, -169.73536682, 169.39314270, 220.66815186, -0.14706795, -0.85523015, -0.49694306, -0.01076897, -0.00887507, 0.01201874, 0.00000000, 0.00000000, 0.00000000, -0.09491391, 0.49246302, 0.80947184, -0.30533076
424168338.392465, -0.15476990, -0.86260986, -0.50988770, 0.00432923, -0.02817598, -0.02253940, -169.56427002, 170.24865723, 220.83456421, -0.14762895, -0.85509282, -0.49701300, -0.00709517, -0.00780694, -0.00115594, 0.00000000, 0.00000000, 0.00000000, -0.09460573, 0.49248681, 0.80947500, -0.30537965
424168338.408706, -0.15476990, -0.86260986, -0.50988770, 0.02575357, -0.01671773, -0.03841876, -169.22206116, 170.24865723, 219.50323486, -0.14793725, -0.85489392, -0.49726343, -0.00683264, -0.00771592, -0.01262427, 0.00000000, 0.00000000, 0.00000000, -0.09434459, 0.49240977, 0.80957120, -0.30532963
424168338.425951, -0.15550232, -0.86926270, -0.48997498, 0.00863716, 0.02325765, -0.00650530, -170.07757568, 170.07756042, 221.99948120, -0.14821124, -0.85509211, -0.49684098, -0.00729107, -0.01417061, 0.00686600, 0.00000000, 0.00000000, 0.00000000, -0.09418343, 0.49265505, 0.80949832, -0.30517692
424168338.440281, -0.14883423, -0.86901855, -0.46903992, -0.03870079, 0.00358248, -0.02129437, -170.07757568, 170.07756042, 221.99948120, -0.14824770, -0.85563308, -0.49589786, -0.00058653, -0.01338549, 0.02685793, 0.00000000, 0.00000000, 0.00000000, -0.09438358, 0.49309514, 0.80919384, -0.30521181
424168338.455308, -0.15145874, -0.86424255, -0.48320007, -0.07551633, -0.02083284, -0.03838041, -169.05094910, 169.05093384, 220.33531189, -0.14833473, -0.85554981, -0.49601549, -0.00249840, -0.00384047, 0.02132983, 0.00000000, 0.00000000, 0.00000000, -0.09439148, 0.49303398, 0.80917880, -0.30534802
424168338.471809, -0.15246582, -0.85917664, -0.52313232, -0.05447256, -0.02911128, -0.03713512, -170.93309021, 169.90644836, 220.83456421, -0.14832412, -0.85511750, -0.49676353, -0.00595750, -0.00656157, -0.00439613, 0.00000000, 0.00000000, 0.00000000, -0.09418273, 0.49269447, 0.80944472, -0.30525566
