Trial01
Date:,2000/01/01
Time:,00:00:00
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,392.700531,-5.971969,17.350758,-11.007999,-1.539337,16.174252,396.245270,572.538330,24.647867,-5.424129,575.923157,19.912382,150.561478,136.740540,30.321297,-6.755676,135.316788,25.578566,148.213028,230.578415,31.041059,-11.624402,222.957626,26.878733
2,392.687256,-6.002787,17.341787,-11.004852,-1.537497,16.177244,396.240479,572.538330,24.649942,-5.429512,575.920288,19.917078,150.552155,136.744934,30.319731,-6.754314,135.326675,25.571470,148.218338,230.574661,31.034826,-11.626020,222.964844,26.871611
3,392.704834,-5.973853,17.344667,-11.026556,-1.551729,16.176443,396.240570,572.546448,24.651865,-5.432724,575.930786,19.920570,150.554443,136.743347,30.324558,-6.759079,135.323395,25.579763,148.202682,230.575577,31.036827,-11.620934,222.961609,26.866920
4,392.700806,-5.969432,17.346357,-11.023131,-1.550961,16.181108,396.235992,572.541382,24.648912,-5.432232,575.926392,19.914280,150.560699,136.732544,30.315830,-6.767150,135.318787,25.576820,148.206512,230.562210,31.033861,-11.631349,222.956436,26.867208
5,392.697845,-5.973762,17.341904,-11.018209,-1.546481,16.178293,396.235565,572.530334,24.649082,-5.436281,575.927063,19.918310,150.548523,136.737259,30.322199,-6.766675,135.321228,25.579315,148.201645,230.571899,31.037573,-11.642448,222.960709,26.864691
6,392.701813,-5.971902,17.339684,-11.070448,-1.469487,16.228218,396.238953,572.532043,24.649883,-5.441066,575.932068,19.917797,150.547806,136.733688,30.317003,-6.765787,135.320999,25.569817,148.188889,230.561768,31.030020,-11.629086,222.960007,26.869352
7,392.703918,-5.977589,17.354675,-11.021639,-1.538705,16.183575,396.239838,572.535461,24.651680,-5.437842,575.924500,19.912323,150.552353,136.733505,30.319939,-6.771413,135.307144,25.582060,148.204910,230.573700,31.046669,-11.635471,222.960892,26.873623
8,392.705719,-5.962685,17.352831,-11.013574,-1.546222,16.174389,396.233032,572.541321,24.648224,-5.423570,575.910950,19.914341,150.555176,136.743820,30.321041,-6.764541,135.310547,25.585852,148.201004,230.571304,31.032269,-11.627061,222.965515,26.869120
9,392.696960,-5.978229,17.344427,-11.018058,-1.546162,16.185390,396.238037,572.545349,24.649418,-5.419813,575.914917,19.919640,150.561859,136.738388,30.318098,-6.756743,135.314148,25.579716,148.204666,230.560699,31.040428,-11.617207,222.965561,26.870682
10,392.704865,-5.976266,17.331284,-11.009684,-1.541098,16.179607,396.238312,572.547058,24.651630,-5.414528,575.910889,19.915630,150.555435,136.743912,30.324223,-6.755214,135.315170,25.577240,148.207336,230.563217,31.039549,-11.624026,222.968826,26.874868
11,392.704529,-5.969581,17.337168,-11.001964,-1.544608,16.175486,396.246704,572.536987,24.656401,-5.415060,575.925537,19.921133,150.555908,136.731735,30.320814,-6.757551,135.322739,25.577396,148.213165,230.569839,31.041763,-11.620161,222.964706,26.877510
12,392.697601,-5.975230,17.333525,-11.003261,-1.539880,16.176289,396.249420,572.536804,24.644487,-5.427747,575.915405,19.909391,150.555786,136.731323,30.313951,-6.746309,135.328842,25.578262,148.217850,230.558990,31.029556,-11.628374,222.954681,26.872620
13,392.705048,-5.976115,17.350916,-11.061905,-1.460330,16.227615,396.243866,572.530212,24.644691,-5.436597,575.950806,19.944151,150.560394,136.724930,30.313103,-6.755084,135.316772,25.575916,148.213470,230.570847,31.036564,-11.629870,222.956345,26.869749
14,392.610840,-6.068901,17.239752,-11.020587,-1.550743,16.179785,396.244293,572.532471,24.651306,-5.429951,575.926575,19.913189,150.562057,136.729706,30.323261,-6.762097,135.317230,25.581438,148.211334,230.567184,31.038572,-11.629590,222.955231,26.864006
15,392.693207,-5.977607,17.343248,-11.015185,-1.550748,16.177742,396.242188,572.540710,24.651800,-5.432825,575.925720,19.918665,150.564423,136.735779,30.321890,-6.763139,135.312683,25.572716,148.209946,230.568497,31.042040,-11.625838,222.959259,26.870449
16,392.703064,-5.966244,17.349867,-11.012512,-1.547561,16.171083,396.242401,572.542725,24.647583,-5.421840,575.937073,19.923586,150.562576,136.738297,30.320169,-6.763500,135.321243,25.575125,148.214203,230.563889,31.029970,-11.629103,222.973114,26.869707
17,392.701996,-5.973608,17.339756,-11.009300,-1.550311,16.177525,396.244293,572.539612,24.655689,-5.439748,575.952698,19.960306,150.553940,136.737213,30.318243,-6.756341,135.327774,25.578875,148.206848,230.562866,31.043941,-11.628770,222.972076,26.864038
18,392.695343,-5.975008,17.349701,-11.017540,-1.541833,16.177067,396.234833,572.543335,24.653067,-5.430309,575.936523,19.929001,150.556458,136.735519,30.324520,-6.758027,135.327118,25.575260,148.209946,230.577362,31.041788,-11.629801,222.973236,26.871435
19,392.690643,-5.977339,17.344475,-11.014983,-1.540158,16.175556,396.235291,572.541077,24.654871,-5.438437,575.950623,19.950972,150.553909,136.741302,30.317997,-6.770737,135.326996,25.562225,148.204590,230.568939,31.029583,-11.635749,222.970245,26.871349
