Trial04
Date:,2014/06/11
Time:,10:47:30
Type:,Auto-capture
Description:,""
Notes:,""

TRAJECTORIES
120.000000,Hz
,LASI,,,RASI,,,LPSI,,,RPSI,,,LTHI,,,LKNE,,,RTHI,,,RKNE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,393.970337,-12.005530,16.545719,-10.095338,-13.675407,16.205429,389.276489,566.868530,24.205063,-12.809503,564.253235,19.932959,153.105057,381.398407,33.691322,,,,246.934341,381.798950,34.490082,242.787796,541.691101,33.963638
2,393.959717,-12.006845,16.520329,-10.083623,-13.668594,16.210239,389.276520,566.866089,24.237209,-12.806310,564.265747,19.959801,153.104477,381.393829,33.706886,,,,246.934601,381.811859,34.484009,242.787445,541.688721,33.973877
3,393.945984,-11.985176,16.569489,-10.080940,-13.669844,16.217598,389.285461,566.876343,24.212587,-12.818772,564.270996,19.977415,153.121445,381.404205,33.690434,,,,246.948425,381.828491,34.475903,242.783676,541.697388,33.984833
4,393.980499,-12.007836,16.544367,-10.091969,-13.669890,16.209139,389.286469,566.882324,24.195101,-12.813567,564.260864,19.948465,153.113983,381.382507,33.702126,,,,246.934647,381.806305,34.470676,242.785538,541.695007,33.978344
5,393.971893,-12.053746,16.529427,-10.098628,-13.682635,16.197470,389.280487,566.863892,24.210093,-12.835141,564.225159,19.918962,153.096130,381.372314,33.696804,,,,246.910919,381.796173,34.480469,242.782257,541.679138,33.974091
6,393.918488,-11.957929,16.574177,-10.085896,-13.666102,16.206621,389.280487,566.859619,24.240229,-12.824261,564.271973,19.983717,153.087646,381.385254,33.705849,,,,246.919434,381.804138,34.495686,242.785461,541.689026,33.984783
7,393.976593,-12.034389,16.578541,-10.074367,-13.659522,16.212723,389.296661,566.858459,24.239496,-12.817889,564.264221,19.968161,153.107117,381.400513,33.702671,,,,246.936188,381.804260,34.490341,242.791611,541.692566,33.984772
8,394.031555,-12.048127,16.522938,-10.071808,-13.672276,16.197906,389.296112,566.880127,24.202316,-12.790187,564.274597,19.925823,153.117996,381.404175,33.683311,,,,246.955704,381.808563,34.476635,242.794159,541.693726,33.971661
9,394.024963,-12.020215,16.517302,-10.067659,-13.658714,16.198147,389.301636,566.870422,24.192406,-12.789483,564.277100,19.907141,153.141678,381.418610,33.678284,,,,246.966125,381.814758,34.463593,242.802902,541.697876,33.962074
10,393.983002,-12.000184,16.551386,-10.077071,-13.665174,16.207779,389.298553,566.852783,24.221104,-12.790289,564.283691,19.934498,153.141418,381.426636,33.682518,,,,246.966324,381.815338,34.477657,242.820587,541.703125,33.969643
11,394.016174,-12.009280,16.524296,-10.079861,-13.660098,16.211395,389.283936,566.854675,24.233633,-12.791506,564.285034,19.948914,153.126724,381.425446,33.701626,,,,246.972565,381.825745,34.481632,242.809006,541.706970,33.976089
12,393.921967,-11.827849,16.504576,-10.085234,-13.675591,16.205326,389.293671,566.850525,24.219030,-12.793817,564.276062,19.938320,153.112885,381.403961,33.697800,,,,246.946854,381.815369,34.476154,242.798874,541.691833,33.978676
13,393.914215,-11.844242,16.501587,-10.090473,-13.665038,16.201971,389.285583,566.855469,24.199947,-12.798323,564.272644,19.928272,153.104065,381.388763,33.692722,,,,246.946960,381.800262,34.492367,242.792969,541.685486,33.973389
14,393.996857,-12.055021,16.521896,-10.090176,-13.676811,16.208378,389.279572,566.840759,24.219946,-12.803644,564.258423,19.928335,153.097641,381.374603,33.704098,,,,246.928360,381.794312,34.490482,242.782700,541.684814,33.971188
15,393.955261,-12.051252,16.571020,-10.087053,-13.688989,16.219374,389.281067,566.851196,24.236643,-12.852700,564.226257,19.972729,153.079758,381.366760,33.706242,,,,246.920670,381.795990,34.490055,242.777542,541.682800,33.985661
16,393.954651,-12.016195,16.576433,-10.086998,-13.684828,16.218426,389.280212,566.878174,24.213438,-12.838047,564.243469,19.994116,153.097580,381.382111,33.702785,,,,246.930634,381.810211,34.469177,242.783249,541.684692,33.979568
17,393.995514,-12.020291,16.532177,-10.092030,-13.670159,16.205175,389.278381,566.885620,24.190781,-12.807374,564.255188,19.925165,153.115234,381.397125,33.683605,,,,246.941833,381.806183,34.466434,242.786285,541.696533,33.961578
18,393.895325,-11.824276,16.496181,-10.082709,-13.671479,16.193855,389.273743,566.877869,24.202448,-12.797929,564.269348,19.898293,153.116241,381.396851,33.686176,,,,246.931061,381.806946,34.478130,242.777649,541.695862,33.953823
19,393.950409,-12.004293,16.539085,-10.098755,-13.668490,16.208870,389.266235,566.878235,24.235886,-12.804452,564.279541,19.956732,153.116516,381.404572,33.710979,,,,246.925369,381.825714,34.481327,242.780365,541.699158,33.980186
